Gamma,arm,delta,lambda_star,FPR_achieved,CI_low,CI_high,n_bisection_iter
1.0,Recalib,0.125,132.8133671875,0.052,0.04309957134080411,0.06261816602925548,15
1.0,Eco_L1,0.25,18.311528564453127,0.0485,0.03991995050443902,0.05881120668882416,15
1.0,Oracle_Eco,0.25,18.06738818359375,0.0485,0.03991995050443902,0.05881120668882416,15
1.0,Concept,0.09785789892672059,10.621106567382812,0.05,0.04128108811097559,0.06044431772948606,15
11.58,Recalib,0.125,140.625859375,0.051,0.04218982272001876,0.061531748885241856,15
11.58,Eco_L1,0.25,18.5556689453125,0.0485,0.03991995050443902,0.05881120668882416,15
11.58,Oracle_Eco,0.25,18.06738818359375,0.049,0.040373396150675284,0.0593558439249874,15
11.58,Concept,0.09785789892672059,10.743176757812499,0.051,0.04218982272001876,0.061531748885241856,15
50.0,Recalib,0.125,156.25084375,0.049,0.040373396150675284,0.0593558439249874,15
50.0,Eco_L1,0.25,18.06738818359375,0.0505,0.041735326906860444,0.060988161816000704,15
50.0,Oracle_Eco,0.25,17.823247802734375,0.0485,0.03991995050443902,0.05881120668882416,15
50.0,Concept,0.09785789892672059,10.743176757812499,0.048,0.0394667769183416,0.0582662973925221,15
200.0,Recalib,0.125,148.4383515625,0.0505,0.041735326906860444,0.060988161816000704,15
200.0,Eco_L1,0.25,17.823247802734375,0.0485,0.03991995050443902,0.05881120668882416,15
200.0,Oracle_Eco,0.25,17.579107421875,0.0475,0.039013879394732026,0.05772111203373219,15
200.0,Concept,0.09785789892672059,10.621106567382812,0.0475,0.039013879394732026,0.05772111203373219,15
