Gamma,arm,c,DetRate,CI_low,CI_high,ADD,SEM
1.0,Recalib,0.25,0.2025,0.1854655760563091,0.22067510891599618,2363.4666666666667,59.890915832795876
1.0,Eco_L1,0.25,1.0,0.9980828823994873,1.0,396.2425,7.814432130464492
1.0,Oracle_Eco,0.25,1.0,0.9980828823994873,1.0,371.745,6.841308810499663
1.0,Concept,0.25,1.0,0.9980828823994873,1.0,446.71,7.8584482599637475
1.0,Recalib,0.5,0.897,0.8829083499777469,0.909569458647446,1265.891861761427,21.47001003255791
1.0,Eco_L1,0.5,1.0,0.9980828823994873,1.0,70.1775,0.6986934829856245
1.0,Oracle_Eco,0.5,1.0,0.9980828823994873,1.0,68.391,0.6822963605808189
1.0,Concept,0.5,1.0,0.9980828823994873,1.0,100.1395,0.9406500045662813
1.0,Recalib,1.0,0.999,0.9963609898107715,0.9997257268239166,191.21871871871872,1.9440118676491327
1.0,Eco_L1,1.0,1.0,0.9980828823994873,1.0,25.7865,0.1417286222898822
1.0,Oracle_Eco,1.0,1.0,0.9980828823994873,1.0,24.537,0.1395207816931303
1.0,Concept,1.0,1.0,0.9980828823994873,1.0,42.459,0.20877728199384712
1.0,Recalib,2.0,0.9995,0.9971730649772383,0.9999117345398496,51.61930965482741,0.5253400412200798
1.0,Eco_L1,2.0,1.0,0.9980828823994873,1.0,12.293,0.045652136409804395
1.0,Oracle_Eco,2.0,1.0,0.9980828823994873,1.0,10.9015,0.042459395604949074
1.0,Concept,2.0,1.0,0.9980828823994873,1.0,28.452,0.04501512168805383
11.58,Recalib,0.25,0.187,0.17051727772790592,0.20468283789001518,2293.457219251337,63.72962387895697
11.58,Eco_L1,0.25,1.0,0.9980828823994873,1.0,389.3095,7.387345009407575
11.58,Oracle_Eco,0.25,1.0,0.9980828823994873,1.0,359.405,6.676904972927857
11.58,Concept,0.25,1.0,0.9980828823994873,1.0,460.29,8.169681193008556
11.58,Recalib,0.5,0.8915,0.877111200786105,0.9043876961326933,1336.7274256870444,22.850722863627805
11.58,Eco_L1,0.5,1.0,0.9980828823994873,1.0,72.002,0.6958506319972882
11.58,Oracle_Eco,0.5,1.0,0.9980828823994873,1.0,69.199,0.6841277036178469
11.58,Concept,0.5,1.0,0.9980828823994873,1.0,100.639,0.940704152032309
11.58,Recalib,1.0,0.9995,0.9971730649772383,0.9999117345398496,202.62781390695346,2.2038105672949673
