w,Gamma,s_max,v_max,dmu_std_target,delta_P,lambda_star_Data,lambda_star_Concept,lambda_iid_H,w_star,w_over_wstar,mon_len,regime,FPR_Data_val,FPR_Concept_val,censored_Data,DetRate_Data,ADD_Data,MED_Data,SEM_Data,DetRate_Concept,ADD_Concept,MED_Concept,SEM_Concept
39,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,276.98855876050504,15.810000000000036,129.48222329109777,460.381238368346,0.08471240083158325,200000,saturated,0.035,0.0525,0.0,1.0,222.5225,209.0,7.19762030671068,0.0525,90735.47619047618,81599.0,12792.794581627182
65,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,276.98855876050504,15.810000000000036,129.48222329109777,460.381238368346,0.14118733471930542,200000,saturated,0.035,0.0525,0.0,1.0,236.5575,222.5,7.154818852802357,0.0525,90735.47619047618,81599.0,12792.794581627182
107,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,276.98855876050504,15.810000000000036,129.48222329109777,460.381238368346,0.23241607407639508,200000,saturated,0.035,0.0525,0.0,1.0,261.955,248.0,7.23776609754051,0.0525,90735.47619047618,81599.0,12792.794581627182
178,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,276.98855876050504,15.810000000000036,129.48222329109777,460.381238368346,0.38663608584671333,200000,saturated,0.035,0.0525,0.0,1.0,305.8975,290.0,8.010758272762734,0.0525,90735.47619047618,81599.0,12792.794581627182
296,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,276.98855876050504,15.810000000000036,129.48222329109777,460.381238368346,0.6429454011832986,200000,saturated,0.035,0.0525,0.0,1.0,376.7575,360.0,7.921588422925706,0.0525,90735.47619047618,81599.0,12792.794581627182
492,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,276.98855876050504,15.810000000000036,129.48222329109777,460.381238368346,1.0686795181830502,200000,ramp,0.035,0.0525,0.0,1.0,491.43,473.5,8.370331916416305,0.0525,90735.47619047618,81599.0,12792.794581627182
818,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,276.98855876050504,15.810000000000036,129.48222329109777,460.381238368346,1.7767883046214128,200000,ramp,0.035,0.0525,0.0,1.0,665.18,652.0,8.706987744850249,0.0525,90735.47619047618,81599.0,12792.794581627182
1359,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,276.98855876050504,15.810000000000036,129.48222329109777,460.381238368346,2.951901352054401,200000,ramp,0.035,0.0525,0.0,1.0,922.1975,899.0,10.084486273125524,0.0525,90735.47619047618,81599.0,12792.794581627182
2258,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,276.98855876050504,15.810000000000036,129.48222329109777,460.381238368346,4.904630796864486,200000,ramp,0.035,0.0525,0.0,1.0,1300.0575,1280.5,12.475799550346505,0.0525,90735.47619047618,81599.0,12792.794581627182
3752,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,276.98855876050504,15.810000000000036,129.48222329109777,460.381238368346,8.149767382566676,200000,ramp,0.035,0.0525,0.0,1.0,1879.7125,1840.5,17.806831420059858,0.0525,90735.47619047618,81599.0,12792.794581627182
6234,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,276.98855876050504,15.810000000000036,129.48222329109777,460.381238368346,13.540951456002308,200000,ramp,0.035,0.0525,0.0,1.0,2716.5475,2669.0,27.62250919803202,0.0525,90735.47619047618,81599.0,12792.794581627182
10359,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,276.98855876050504,15.810000000000036,129.48222329109777,460.381238368346,22.500916928573613,200000,ramp,0.035,0.0525,0.0,1.0,4033.075,4012.0,42.2987955644485,0.0525,90735.47619047618,81599.0,12792.794581627182
78,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,553.8639216913889,15.810000000000036,129.48222329109777,920.7624767232713,0.08471240083281799,200000,saturated,0.04,0.0525,0.0,1.0,513.345,409.5,76.08344862929002,0.0525,90735.47619047618,81599.0,12792.794581627182
129,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,553.8639216913889,15.810000000000036,129.48222329109777,920.7624767232713,0.14010127830042973,200000,saturated,0.04,0.0525,0.0,1.0,544.1125,441.5,76.01951487093565,0.0525,90735.47619047618,81599.0,12792.794581627182
215,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,553.8639216913889,15.810000000000036,129.48222329109777,920.7624767232713,0.23350213050071625,200000,saturated,0.04,0.0525,0.0,1.0,594.9425,487.0,75.90457634266048,0.0525,90735.47619047618,81599.0,12792.794581627182
356,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,553.8639216913889,15.810000000000036,129.48222329109777,920.7624767232713,0.38663608585234877,200000,saturated,0.04,0.0525,0.0,1.0,679.58,568.5,75.71025121704703,0.0525,90735.47619047618,81599.0,12792.794581627182
592,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,553.8639216913889,15.810000000000036,129.48222329109777,920.7624767232713,0.6429454011926699,200000,saturated,0.04,0.0525,0.0,1.0,818.21,712.5,75.39969429313854,0.0525,90735.47619047618,81599.0,12792.794581627182
984,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,553.8639216913889,15.810000000000036,129.48222329109777,920.7624767232713,1.0686795181986268,200000,ramp,0.04,0.0525,0.0,1.0,1050.58,937.5,75.01618210722845,0.0525,90735.47619047618,81599.0,12792.794581627182
