w,Gamma,s_max,v_max,dmu_std_target,lambda_star_Data,lambda_star_Concept,lambda_iid_H,w_star,regime,FPR_Data_val,FPR_Concept_val,DetRate_Data,ADD_Data,SEM_Data,DetRate_Concept,ADD_Concept,SEM_Concept
49,11.579999998279618,2.436528846008845,5.936672817433192,2.0,665.8521587636394,13.600000000000039,76.09898499194087,881.226246075756,saturated,0.0675,0.03,0.995,606.7738693467337,36.01557143193987,0.0275,10770.09090909091,1139.3946036426175
85,11.579999998279618,2.436528846008845,5.936672817433192,2.0,665.8521587636394,13.600000000000039,76.09898499194087,881.226246075756,saturated,0.0675,0.03,0.995,643.6532663316583,49.091713070885795,0.0275,10770.09090909091,1139.3946036426175
144,11.579999998279618,2.436528846008845,5.936672817433192,2.0,665.8521587636394,13.600000000000039,76.09898499194087,881.226246075756,saturated,0.0675,0.03,0.995,676.8417085427136,49.5176083670747,0.0275,10770.09090909091,1139.3946036426175
246,11.579999998279618,2.436528846008845,5.936672817433192,2.0,665.8521587636394,13.600000000000039,76.09898499194087,881.226246075756,saturated,0.0675,0.03,0.995,738.0979899497487,49.46768954852468,0.0275,10770.09090909091,1139.3946036426175
419,11.579999998279618,2.436528846008845,5.936672817433192,2.0,665.8521587636394,13.600000000000039,76.09898499194087,881.226246075756,saturated,0.0675,0.03,0.995,833.7939698492462,49.40081371127836,0.0275,10770.09090909091,1139.3946036426175
714,11.579999998279618,2.436528846008845,5.936672817433192,2.0,665.8521587636394,13.600000000000039,76.09898499194087,881.226246075756,saturated,0.0675,0.03,0.995,994.1331658291457,49.219219562936864,0.0275,10770.09090909091,1139.3946036426175
1216,11.579999998279618,2.436528846008845,5.936672817433192,2.0,665.8521587636394,13.600000000000039,76.09898499194087,881.226246075756,ramp,0.0675,0.03,0.995,1259.0552763819096,50.23425906861017,0.0275,10770.09090909091,1139.3946036426175
2070,11.579999998279618,2.436528846008845,5.936672817433192,2.0,665.8521587636394,13.600000000000039,76.09898499194087,881.226246075756,ramp,0.0675,0.03,0.995,1662.889447236181,50.839057139850105,0.0275,10770.09090909091,1139.3946036426175
3524,11.579999998279618,2.436528846008845,5.936672817433192,2.0,665.8521587636394,13.600000000000039,76.09898499194087,881.226246075756,ramp,0.0675,0.03,0.9925,2286.8488664987403,53.33581882828503,0.0275,10770.09090909091,1139.3946036426175
6000,11.579999998279618,2.436528846008845,5.936672817433192,2.0,665.8521587636394,13.600000000000039,76.09898499194087,881.226246075756,ramp,0.0675,0.03,0.9925,3250.445843828715,65.4591480166406,0.0275,10770.09090909091,1139.3946036426175
