task_type,c,seed,p_val
binary,0,1,0.46490834973328155
binary,0,2,0.30720604612020025
binary,0,3,0.38664974880852832
binary,0,4,0.91127065275022368
binary,0,5,0.34639369623122546
binary,0,6,0.96806225059502238
binary,0,7,0.99861818807211988
binary,0,8,0.13555538562927077
binary,0,9,0.96295386135900785
binary,0,10,0.84370118592676269
binary,0,11,0.10802010297932556
binary,0,12,0.67091295618319247
binary,0,13,0.97560619770104573
binary,0,14,0.87287032415701682
binary,0,15,0.47248695701611632
binary,0,16,0.91455443691739968
binary,0,17,0.43848497155415705
binary,0,18,0.21897143162648788
binary,0,19,0.63442675424716088
binary,0,20,0.072316550787623418
binary,0,21,0.99770199278090321
binary,0,22,0.78966796572554032
binary,0,23,0.80097772926109512
binary,0,24,0.46761757093526701
binary,0,25,0.7410276219993549
binary,0,26,0.93578078149162336
binary,0,27,0.31275283517392
binary,0,28,0.31197227551115875
binary,0,29,0.83199881708411672
binary,0,30,0.85949355288729756
binary,0,31,0.83244478573746283
binary,0,32,0.80262450911577976
binary,0,33,0.5091005717966397
binary,0,34,0.59575651358739745
binary,0,35,0.70147670263880813
binary,0,36,0.42697446460436717
binary,0,37,0.070090287047514105
binary,0,38,0.85614352441948283
binary,0,39,0.3888768111260566
binary,0,40,0.47093104871441183
binary,0,41,0.26152838384072841
binary,0,42,0.544705916564868
binary,0,43,0.11702930268831678
binary,0,44,0.087709805321066939
binary,0,45,0.90576276358510177
binary,0,46,0.48312860493662813
binary,0,47,0.27090762252849371
binary,0,48,0.27580123995122452
binary,0,49,0.42523925563132853
binary,0,50,0.05635804832516908
binary,0,51,0.06972658667055949
binary,0,52,0.21279175600449662
binary,0,53,0.12674966437177793
binary,0,54,0.14871719126128352
binary,0,55,0.36873079078804871
binary,0,56,0.12073473927845053
binary,0,57,0.61964339337940677
binary,0,58,0.58569796746715075
binary,0,59,0.02447518411196193
binary,0,60,0.016122970541786297
binary,0,61,0.14348573675505594
binary,0,62,0.94860254046045056
binary,0,63,0.084553581784751114
binary,0,64,0.58396459737576401
binary,0,65,0.99800540856405473
binary,0,66,0.82247108476408171
binary,0,67,0.10639009454754651
binary,0,68,0.43419641256442659
binary,0,69,0.02965700026550798
binary,0,70,0.24186612330945642
binary,0,71,0.79535237959200855
binary,0,72,0.035926766172597095
binary,0,73,0.6595487258171403
binary,0,74,0.85703540224783792
binary,0,75,0.019764559381938166
binary,0,76,0.67210134429026291
binary,0,77,0.72004273425263243
binary,0,78,0.9450944136077305
binary,0,79,0.028685442630323382
binary,0,80,0.48705903532273964
binary,0,81,0.053380208968511471
binary,0,82,0.70106450896321282
binary,0,83,0.78447900882627197
binary,0,84,0.92457893689266035
binary,0,85,0.66211116087825439
binary,0,86,0.96836634803929234
binary,0,87,0.54157143183542844
binary,0,88,0.33431360773487628
binary,0,89,0.11676943243047719
binary,0,90,0.024562167652019806
binary,0,91,0.85050992949112414
binary,0,92,0.77311475211657699
binary,0,93,0.5099248637545245
binary,0,94,0.53354607716962943
binary,0,95,0.89044213312955844
binary,0,96,0.87810089996284235
binary,0,97,0.27328317409749914
binary,0,98,0.080344797740221033
binary,0,99,0.55471756767094538
binary,0,100,0.48303019493664068
binary,0.25,1,0.19923904364083339
binary,0.25,2,0.61690794635700774
binary,0.25,3,0.079060461170513532
binary,0.25,4,0.57895718107153549
binary,0.25,5,0.11081736915267257
binary,0.25,6,0.33613030583258363
binary,0.25,7,0.00022680369273110905
binary,0.25,8,0.5689075249418718
binary,0.25,9,0.057197264941552348
binary,0.25,10,0.40542692585774814
binary,0.25,11,0.26455312246385454
binary,0.25,12,0.025859566811132381
binary,0.25,13,0.0014520806209658767
binary,0.25,14,0.37962241476867636
binary,0.25,15,0.0060228622630669635
binary,0.25,16,0.042144193915539169
binary,0.25,17,0.00058047314974626549
binary,0.25,18,0.0012925346071672686
binary,0.25,19,0.14457285605771925
binary,0.25,20,0.14343780398204831
binary,0.25,21,0.23391241337307406
binary,0.25,22,0.10328730315735238
binary,0.25,23,0.39741427258041612
binary,0.25,24,0.41915867015211411
binary,0.25,25,0.0063302532797198992
binary,0.25,26,0.031354754175671684
binary,0.25,27,0.00077138436484602444
binary,0.25,28,0.00048837887124540474
binary,0.25,29,0.15625262288150529
binary,0.25,30,0.19158498919087666
binary,0.25,31,0.36468366882500064
binary,0.25,32,0.14813948992632778
binary,0.25,33,0.01322834102370957
binary,0.25,34,0.004964510071217813
binary,0.25,35,0.0094926774046467221
binary,0.25,36,0.13271378983879958
binary,0.25,37,4.1671937529885969e-07
binary,0.25,38,0.039895065409221372
binary,0.25,39,0.23727724787376789
binary,0.25,40,0.00035494907257551067
binary,0.25,41,0.0074438687404630556
binary,0.25,42,0.17481926378551174
binary,0.25,43,0.067842727068638087
binary,0.25,44,0.19691388712527283
binary,0.25,45,0.058619360468421616
binary,0.25,46,0.21060612677246487
binary,0.25,47,0.052311699895452195
binary,0.25,48,0.16960827607801543
binary,0.25,49,0.0257530015697746
binary,0.25,50,0.60566992439629319
binary,0.25,51,0.00016128492258660621
binary,0.25,52,0.036078585223392488
binary,0.25,53,0.66983634203554865
binary,0.25,54,0.0014596809114991568
binary,0.25,55,0.0014317275792011534
binary,0.25,56,0.561524460989695
binary,0.25,57,0.031578200672697031
binary,0.25,58,0.00012633999584157345
binary,0.25,59,0.050955873545474935
binary,0.25,60,0.0051892367394607182
binary,0.25,61,0.076068778006588761
binary,0.25,62,0.14926649717193241
binary,0.25,63,0.010541110153346415
binary,0.25,64,0.046190344546899728
binary,0.25,65,0.016938292376515455
binary,0.25,66,0.062719556242495228
binary,0.25,67,0.0029850549426087575
binary,0.25,68,0.36414499284245277
binary,0.25,69,0.30812932646124463
binary,0.25,70,0.075177605027430414
binary,0.25,71,0.011360276545044911
binary,0.25,72,0.23449216234698284
binary,0.25,73,0.47031341091604728
binary,0.25,74,0.77324776996741118
binary,0.25,75,0.04366507241780946
binary,0.25,76,0.099778674187877253
binary,0.25,77,0.45135973951437636
binary,0.25,78,0.22951602249729336
binary,0.25,79,5.944881847745419e-06
binary,0.25,80,5.2446701140440268e-06
binary,0.25,81,0.0016668696400657177
binary,0.25,82,0.18535277488168064
binary,0.25,83,0.57487028112086846
binary,0.25,84,2.802038899324392e-08
binary,0.25,85,0.39202844738653991
binary,0.25,86,6.9298727427126071e-06
binary,0.25,87,0.14635990322788833
binary,0.25,88,0.015944545856391146
binary,0.25,89,0.025690713881640615
binary,0.25,90,0.49984904419742604
binary,0.25,91,0.034520559985425997
binary,0.25,92,0.15716923133831517
binary,0.25,93,0.022724199201260044
binary,0.25,94,0.054237399624418856
binary,0.25,95,0.0010553594484501859
binary,0.25,96,0.83596985697418913
binary,0.25,97,0.16127182998026618
binary,0.25,98,0.048377793243643587
binary,0.25,99,0.0010569100567468436
binary,0.25,100,0.8359059343503118
binary,0.5,1,6.5807175206322946e-12
binary,0.5,2,2.2773571242477947e-11
binary,0.5,3,6.0302611469441448e-16
binary,0.5,4,4.7004464591005549e-07
binary,0.5,5,2.1710336096608934e-15
binary,0.5,6,1.4341303162045101e-17
binary,0.5,7,7.5476796099249072e-21
binary,0.5,8,3.2311054124053772e-09
binary,0.5,9,1.7150858353469699e-16
binary,0.5,10,7.4497956899678777e-11
binary,0.5,11,1.978746620007416e-12
binary,0.5,12,8.08863601610807e-33
