phi,n_ols,eta_rmse_over_sigma,mean_phi_hat,sd_phi_hat
0,125,0.11421769987583744,7.4416171023310924e-05,0.10142820774755557
0,250,0.086827036909227676,8.0996143822695515e-05,0.076167111513713456
0,500,0.065259188856056444,5.4968274407485497e-05,0.05651051009700573
0,1000,0.048452295018130129,1.7374021154045177e-05,0.040494644142125114
0.02,125,0.11366674341067935,0.019275861149914843,0.10129296738126341
0.02,250,0.086200673581174447,0.019373686115613679,0.075923956068658816
0.02,500,0.064799057689334971,0.019448646368299419,0.056246731914511204
0.02,1000,0.048063396635176676,0.019542856324300445,0.04035789473664303
0.050000000000000003,125,0.11416275048594325,0.049047094328559783,0.10126735009285727
0.050000000000000003,250,0.086556716069789971,0.049421541802545724,0.076015176537433643
0.050000000000000003,500,0.065001672899322446,0.049617238716494712,0.05637873261209693
0.050000000000000003,1000,0.04821299398699766,0.049694424320913075,0.040361852801863093
0.074999999999999997,125,0.11417819437861003,0.073502407487664484,0.10123962940731279
0.074999999999999997,250,0.086703765563865623,0.074126149895293439,0.076052566804448066
0.074999999999999997,500,0.065091664569434882,0.074453977234669871,0.056366469516630296
0.074999999999999997,1000,0.048246422250743139,0.074631081863419532,0.040418843194197522
0.10000000000000001,125,0.11354523772328355,0.097929182629514958,0.10092907714085469
0.10000000000000001,250,0.086064030418780538,0.098814609294404915,0.075686298190846352
0.10000000000000001,500,0.064579983029655938,0.09937484751463771,0.056079845243100473
0.10000000000000001,1000,0.047883359850649627,0.099642179130128669,0.040133221238878351
0.125,125,0.11371061575108134,0.12245890889965055,0.10068918575386725
0.125,250,0.086157021432269124,0.12350944863480649,0.075526394137443761
0.125,500,0.064627447849535849,0.12413344379080525,0.055885232850858675
0.125,1000,0.047917453198667637,0.12446079698550969,0.040023436835913667
0.14999999999999999,125,0.11410661208185813,0.14713025880762878,0.1000682681925998
0.14999999999999999,250,0.086725327835553881,0.14842865365090269,0.075008409929577538
0.14999999999999999,500,0.065238264724839887,0.14920055206227539,0.055553316613829659
0.14999999999999999,1000,0.048532758600193668,0.14963248335351137,0.039877975736595565
