seed,delay_frozen,delay_arf
0,153,
1,44,
2,62,
3,68,
4,112,
5,80,
6,55,
7,66,
8,91,
9,64,
10,177,
11,70,
12,81,
13,84,
14,46,
15,121,
16,51,
17,95,
18,74,
19,75,
20,69,
21,64,
22,55,
23,86,
24,95,
25,57,
26,66,
27,46,
28,58,
29,46,
30,60,
31,56,
32,82,
33,48,
34,63,
35,46,
36,64,
37,48,
38,42,
39,77,
40,84,
41,70,
42,62,
43,155,
44,127,
45,65,
46,87,
47,50,
48,51,
49,58,
50,66,
51,53,
52,53,
53,77,
54,59,
55,89,
56,44,
57,42,
58,56,
59,72,
60,57,
61,40,
62,88,
63,48,
64,57,
65,48,
66,55,
67,57,
68,80,
69,57,
70,48,
71,57,
72,49,
73,64,
74,48,
75,86,
76,100,
77,106,
78,63,
79,38,
80,84,
81,48,
82,55,
83,51,
84,52,
85,55,
86,46,
87,110,
88,46,
89,68,
90,51,
91,72,
92,63,
93,94,
94,84,
95,44,
96,188,
97,46,
98,206,
99,51,
100,60,
101,79,
102,73,
103,65,
104,66,
105,69,
106,49,
107,62,
108,80,
109,93,
110,67,
111,57,
112,63,
113,66,
114,62,
115,48,
116,48,
117,37,
118,62,
119,64,
120,73,
121,84,
122,117,
123,75,
124,77,
125,40,
126,64,
127,66,
128,77,
129,46,
130,45,
131,110,
132,66,
133,62,
134,51,
135,53,
136,111,
137,74,
138,76,
139,77,
140,55,
141,61,
142,75,
143,55,
144,74,
145,55,
146,64,
147,64,
148,48,
149,44,
150,48,
151,69,
152,62,
153,56,
154,98,
155,57,
156,95,
157,57,
158,77,
159,75,
160,113,
161,193,
162,57,
163,225,
164,46,
165,87,
166,54,
167,94,
168,53,
169,64,
170,351,
171,48,
172,57,
173,115,
174,80,
175,97,
176,154,
177,99,
178,105,
179,88,
180,66,
181,57,
182,113,
183,57,
184,55,
185,55,
186,95,
187,73,
188,60,
189,87,
190,88,
191,71,
192,82,
193,60,
194,93,
195,81,
196,53,
197,91,
198,52,
199,108,
200,54,
201,49,
202,53,
203,86,
204,86,
205,122,
206,44,
207,112,
208,93,
209,50,
210,116,
211,56,
212,107,
213,92,
214,48,
215,85,
216,115,
217,93,
218,92,
219,129,
220,128,
221,77,
222,94,
223,53,
224,46,
225,46,
226,81,
227,70,
228,74,
229,43,
230,68,
231,73,
232,292,
233,104,
234,63,
235,55,
236,45,
237,42,
238,77,
239,68,
240,80,
241,95,
242,48,
243,44,
244,61,
245,101,
246,64,
247,193,
248,60,
249,77,
250,58,
251,47,
252,161,
253,104,
254,62,
255,88,
256,95,
257,64,
258,70,
259,60,
260,57,
261,44,
262,43,
263,76,
264,57,
265,63,
266,51,
267,74,
268,94,
269,90,
270,117,
271,120,
272,142,
273,93,
274,48,
275,91,
276,79,
277,62,
278,82,
279,90,
280,78,
281,46,
282,44,
283,43,
284,42,
285,98,
286,48,
287,51,
288,60,
289,73,
290,119,
291,142,
292,143,
293,66,
294,44,
295,48,
296,62,
297,148,
298,161,
299,55,
300,48,
301,111,
302,58,
303,37,
304,49,
305,57,
306,51,
307,42,
308,117,
309,85,
310,46,
311,37,
312,52,
313,66,
314,115,
315,82,
316,60,
317,46,
318,62,
319,55,
320,132,
321,100,
322,130,
323,84,
324,53,
325,126,
326,133,
327,37,
328,44,
329,68,
330,65,
331,98,
332,55,
333,55,
334,49,
335,54,
336,86,
337,90,
338,65,
339,75,
340,124,
341,125,
342,88,
343,88,
344,104,
345,60,
346,55,
347,57,
348,38,
349,44,
350,53,
351,77,
352,64,
353,45,
354,86,
355,48,
356,59,
357,128,
358,44,
359,62,
360,57,
361,53,
362,84,
363,94,
364,155,
365,111,
366,52,
367,46,
368,73,
369,91,
370,85,
371,48,
372,64,
373,77,
374,55,
375,156,
376,62,
377,125,
378,66,
379,86,
380,39,
381,48,
382,177,
383,93,
384,196,
385,46,
386,97,
387,66,
388,70,
389,106,
390,44,
391,62,
392,61,
393,109,
394,51,
395,91,
396,162,
397,156,
398,102,
399,55,
400,42,
401,86,
402,73,
403,88,
404,57,
405,114,
406,46,
407,57,
408,70,
409,38,
410,55,
411,113,
412,183,
413,73,
414,57,
415,53,
416,48,
417,76,
418,55,
419,95,
420,58,
421,71,
422,140,
423,78,
424,42,
425,60,
426,62,
427,55,
428,66,
429,61,
430,55,
431,48,
432,52,
433,37,
434,77,
435,66,
436,87,
437,56,
438,123,
439,64,
440,91,
441,105,
442,80,
443,51,
444,88,
445,147,
446,46,
447,77,
448,86,
449,66,
450,66,
451,60,
452,61,
453,75,
454,51,
455,67,
456,59,
457,78,
458,70,
459,99,
460,70,
461,44,
462,70,
463,88,
464,80,
465,70,
466,48,
467,49,
468,68,
469,75,
470,46,
471,90,
472,62,
473,53,
474,51,
475,61,
476,102,
477,73,
478,97,
479,104,
480,51,
481,48,
482,60,
483,73,
484,53,
485,106,
486,204,
487,57,
488,82,
489,77,
490,147,
491,57,
492,78,216.0
493,55,
494,84,
495,40,
496,91,
497,55,
498,126,
499,73,
500,64,
501,73,
502,53,
503,57,
504,145,
505,85,
506,48,
507,62,
508,66,
509,113,
510,91,
511,46,
512,83,
513,83,
514,51,
515,108,
516,55,
517,73,
518,115,
519,85,
520,68,
521,75,
522,65,
523,96,
524,57,
525,80,
526,40,
527,86,
528,77,
529,144,
530,77,
531,66,
532,97,
533,44,
534,65,
535,47,
536,47,
537,75,
538,66,
539,62,
540,49,
541,40,
542,57,
543,73,
544,82,
545,110,
546,73,
547,91,
548,54,
549,52,
550,46,
551,76,
552,101,
553,123,
554,68,
555,70,
556,106,
557,69,
558,82,
559,69,
560,55,
561,64,
562,64,
563,113,
564,72,
565,50,
566,47,
567,120,
568,76,
569,37,
570,95,
571,83,
572,74,
573,46,
574,80,
575,80,
576,62,
577,65,
578,61,
579,110,
580,44,
581,76,
582,77,
583,185,
584,64,
585,48,
586,53,
587,83,
588,48,
589,60,
590,59,
591,80,
592,83,
593,104,
594,102,
595,64,
596,60,
597,57,
598,48,
599,112,
600,53,
601,65,
602,61,
603,79,
604,53,
605,53,
606,66,
607,58,
608,84,
609,40,
610,97,
611,42,
612,54,
613,86,
614,115,
615,66,
616,103,
617,48,
618,155,
619,46,
620,48,
621,78,
622,60,
623,37,
624,55,
625,71,
626,51,
627,55,
628,78,
629,68,
630,46,
631,61,
632,64,
633,147,
634,88,
635,56,
636,108,
637,57,
638,115,
639,92,
640,116,
641,64,
642,45,
643,98,
644,75,
645,84,
646,81,
647,54,
648,50,
649,57,
650,84,
651,50,
652,40,
653,71,
654,57,
655,67,
656,63,
657,57,
658,54,
659,55,
660,75,
661,89,
662,127,
663,64,
664,84,
665,75,
666,70,
667,80,
668,93,
669,75,
670,60,
671,111,
672,48,
673,101,
674,123,
675,51,
676,53,
677,47,
678,90,
679,42,
680,164,
681,89,
682,80,
683,82,
684,61,
685,131,
686,35,
687,68,
688,98,
689,59,
690,84,
691,77,
