nu,det_rate_data,det_rate_concept,ADD_Data,SEM_Data,ADD_Data_Raw,ADD_Concept,SEM_Concept
10,0.82999999999999996,1,1767.1349397590361,52.536207270579013,1767.1349397590361,38.277999999999999,0.2886937132326578
9,0.76600000000000001,1,1899.9608355091384,57.482021238113909,1899.9608355091384,37.548999999999999,0.28339002965684751
8,0.69999999999999996,1,2005.6600000000001,62.673409171739308,2005.6600000000001,37.390000000000001,0.28117425017052855
7.5,0.66400000000000003,1,2116.9427710843374,64.685312928559455,2116.9427710843374,37.500999999999998,0.28692564424485545
7,0.60699999999999998,1,2202.7545304777595,70.043803640556078,2202.7545304777595,36.902999999999999,0.26402898004253678
6.5,0.57099999999999995,1,2180.7355516637476,72.340761267981605,2180.7355516637476,36.420999999999999,0.26666246055241422
6,0.50800000000000001,1,2419.2618110236222,82.486623799767017,2419.2618110236222,36.386000000000003,0.27227033465865341
5.5,0.48899999999999999,1,NaN,NaN,2443.1758691206542,35.856999999999999,0.26387910713655066
5,0.38200000000000001,1,NaN,NaN,2527.7303664921465,35.191000000000003,0.24828645787711653
4.75,0.39800000000000002,1,NaN,NaN,2691.3994974874372,35.027999999999999,0.24837251237788954
4.5,0.375,1,NaN,NaN,2695.7493333333332,34.368000000000002,0.23650901148267589
4.25,0.34999999999999998,1,NaN,NaN,3005.2828571428572,34.320999999999998,0.22928700689644743
4.2000000000000002,0.34799999999999998,1,NaN,NaN,2949.5287356321837,34.031999999999996,0.22233400191695471
4.0999999999999996,0.34699999999999998,1,NaN,NaN,2959.4927953890492,33.999000000000002,0.23849083185077971
4.0499999999999998,0.372,1,NaN,NaN,2915.0349462365593,34.212000000000003,0.21596225525701407
4.0099999999999998,0.34899999999999998,1,NaN,NaN,2795.5730659025789,33.960999999999999,0.22710582567617255
