episode_id,ticker,phase_id,role,sigma_oracle,oracle_contaminated,ref_start,ref_end,n_ref,p_lb_z,p_lb_z2,mean_z_ref,std_z_ref,kurt_z_ref,oracle_certified,omega,alpha,beta,persistence,gamma_exact,qmle_recovery_pass,mu_0,mu_1,Delta_std,delta_opt,sigma_bar_ref,sigma_bar_phase,vol_ratio,sum_inv_sigma2_phase,KL_path,KL_corollary,jensen_ratio,SR_daily_realized,sharpe_csv,sharpe_recomputed,T_days_csv,T_days_recomputed
E1,SPY,22,TARGET,V1,False,2016-02-29,2020-02-18,1000,0.8488556321607454,0.6148232428606168,-0.013316990773771806,0.973817234522002,7.190181115678935,True,4.1649471932219516e-06,0.273725,0.696358,0.970083,45.35500709733116,True,0.0006239210110915318,-0.018227213745619277,-0.857071085105099,0.4285355425525495,0.0073664431552642635,0.039031818255514404,5.298597631561331,98105.77878886923,17.431693853715583,1.637593202465164,10.644703353357015,-0.3773584620887867,-5.99037987487635,-5.990379874876351,23,23
E1,SPY,22,TARGET,V2,False,2016-02-29,2020-02-18,1000,0.6824090204519939,0.03122887684521455,0.036209990472048884,1.0610742271824882,5.434421397886456,True,,,,,,True,0.0006239210110915318,-0.018227213745619277,-0.44019713237769215,0.22009856618884607,0.006865363429332055,0.047155941864272057,6.868673792679312,14290.368374143733,2.5391503908346285,1.637593202465164,1.5505379400771193,-0.3773584620887867,-5.99037987487635,-5.990379874876351,23,23
E1,SPY,22,TARGET,V3,True,2016-02-29,2020-02-18,1000,0.6567427887148254,0.0001931745653362718,0.04101220944608271,0.9748275398852556,3.493844756305047,False,,,,,,True,0.0006239210110915318,-0.018227213745619277,-0.44301835486453156,0.22150917743226578,0.006868353489042002,0.047126787783834535,6.8614388963850175,14592.390986152264,2.592814566119984,1.637593202465164,1.5833080903223522,-0.3773584620887867,-5.99037987487635,-5.990379874876351,23,23
E2,SPY,15,POSITIVE CONTROL A,V1,False,2005-03-17,2009-03-06,1000,0.07005627129976011,0.7779532266771618,0.04511779534720305,0.9907128300765053,5.313602240381925,True,1.6235772021107164e-06,0.101796,0.890089,0.991885,111.78329803047265,True,-0.00047194098621731404,0.002145224732807642,0.23560542414948607,0.11780271207474304,0.011799220104000602,0.012858341731256488,1.0897620027358235,2588969.684844987,8.866646938204594,3.743345273072315,2.3686425620384672,0.16236251547104935,2.5774250290516414,2.5774250290516423,284,284
E2,SPY,15,POSITIVE CONTROL A,V2,False,2005-03-17,2009-03-06,1000,0.14972384470350078,0.006155945667286848,0.09463868589368124,1.0555860824573449,4.0761229978125595,False,,,,,,True,-0.00047194098621731404,0.002145224732807642,0.2622238026463468,0.1311119013231734,0.011497348642330108,0.012054743796801576,1.0484803211428495,3432783.186264737,11.756521023086778,3.743345273072315,3.1406456432584764,0.16236251547104935,2.5774250290516414,2.5774250290516423,284,284
E2,SPY,15,POSITIVE CONTROL A,V3,True,2005-03-17,2009-03-06,1000,0.14132336957489652,0.0008677284701815778,0.09495715423210384,0.9887277916788672,3.129887757056559,False,,,,,,True,-0.00047194098621731404,0.002145224732807642,0.26190550083693453,0.13095275041846727,0.011501534000838195,0.01206162871772902,1.0486973926130208,3423423.7267795363,11.72446695027415,3.743345273072315,3.1320826947527087,0.16236251547104935,2.5774250290516414,2.5774250290516423,284,284
E3,SPY,21,POSITIVE CONTROL B,V1,False,2015-01-05,2018-12-21,1000,0.2433669039599416,0.6454558099475922,-3.859681964569006e-05,0.9650972563644399,6.316956197457868,True,4.830531360672635e-06,0.241961,0.7185,0.960461,28.877495077560116,True,0.00024002270779959034,0.0013544554169909416,0.1548539366334247,0.07742696831671235,0.007939744941067436,0.008197050267460527,1.0324072534197173,6085905.32053595,3.779226287203244,3.8816633268205307,0.9736100143179617,0.16389851123459656,2.60180820588281,2.6018082058828105,289,289
E3,SPY,21,POSITIVE CONTROL B,V2,False,2015-01-05,2018-12-21,1000,0.2867331002623972,0.0021757532110252185,0.05796670649795075,1.0610766027929048,5.051862397655387,False,,,,,,True,0.00024002270779959034,0.0013544554169909416,0.17358375354372266,0.08679187677186133,0.007438108112643018,0.007698766144434233,1.0350435927851276,8139022.81339278,5.054171458226385,3.8816633268205307,1.3020633250968356,0.16389851123459656,2.60180820588281,2.6018082058828105,289,289
E3,SPY,21,POSITIVE CONTROL B,V3,True,2015-01-05,2018-12-21,1000,0.26398325993624944,4.6893151046415045e-06,0.06123683360003091,0.9824184823625828,3.3254569863049963,False,,,,,,True,0.00024002270779959034,0.0013544554169909416,0.17354633066739944,0.08677316533369972,0.007441332545852054,0.0076980379337630795,1.0344972337050196,8138578.6898476705,5.05389566632887,3.8816633268205307,1.3019922751694477,0.16389851123459656,2.60180820588281,2.6018082058828105,289,289
E4,SPY,18,NEGATIVE CONTROL,V1,False,2007-05-11,2011-04-28,1000,0.3488074684398925,0.08873929236271993,0.010884601227929792,1.001966871141332,3.6498963378161817,True,2.7881169729120916e-06,0.109116,0.879943,0.989059,77.82885033520874,True,-8.79083569351513e-06,-0.001930677556502411,-0.15947640724765774,0.07973820362382887,0.014572681657703776,0.014517959038141452,0.9962448490368693,851327.4308846503,1.5722521728320205,0.6998560505544299,2.246536515025445,-0.11384330121921729,-1.8072063807399916,-1.8072063807399916,108,108
