episode_id,ticker,phase_id,role,sigma_oracle,n_star_realized,n_star_analytic,anticonservative,T_days_phase,ADD_min_census
E1,SPY,22,TARGET,V1,2.0,1,True,23,42.07506613243134
E1,SPY,22,TARGET,V2,13.0,6,True,23,42.07506613243134
E1,SPY,22,TARGET,V3,7.0,5,True,23,42.07506613243134
E2,SPY,15,POSITIVE CONTROL A,V1,1.0,103,True,284,227.280120754412
E2,SPY,15,POSITIVE CONTROL A,V2,1.0,96,True,284,227.280120754412
E2,SPY,15,POSITIVE CONTROL A,V3,1.0,96,True,284,227.280120754412
E3,SPY,21,POSITIVE CONTROL B,V1,1.0,120,True,289,223.04011300388916
E3,SPY,21,POSITIVE CONTROL B,V2,1.0,84,True,289,223.04011300388916
E3,SPY,21,POSITIVE CONTROL B,V3,1.0,85,True,289,223.04011300388916
E4,SPY,18,NEGATIVE CONTROL,V1,69.0,64,True,108,462.2937606776731
E4,SPY,18,NEGATIVE CONTROL,V2,,57,True,108,462.2937606776731
E4,SPY,18,NEGATIVE CONTROL,V3,,58,True,108,462.2937606776731
