detector,delta,delta_opt_ctrl,condition,lambda_star_ctrl,FPR_H_ctrl,detection_rate,ci_low,ci_high,median_delay,n_replicates,power_requirement_met,symmetry_requirement_met,degenerate_requirement_met,detector_recovery_pass
D1,0.0,0.25,H1_bear_ctrl,147.17643780135268,0.0356,1.0,0.9923753814690964,0.9999999999999999,228.5,500,True,True,True,True
D1,0.0,0.25,H1_bull_ctrl,147.17643780135268,0.0356,1.0,0.9923753814690964,0.9999999999999999,235.5,500,True,True,True,True
D1,0.0,0.25,H1_null_drift_ctrl,147.17643780135268,0.0356,0.03,0.018263049234083534,0.04890409218496562,1371.0,500,True,True,True,True
D1,0.0,0.25,H0_ctrl,147.17643780135268,0.0356,0.0356,0.030810144963716545,0.0411029227880684,,5000,True,True,True,True
D1,0.25,0.25,H1_bear_ctrl,16.175510149607252,0.0428,1.0,0.9923753814690964,0.9999999999999999,54.5,500,True,True,True,True
D1,0.25,0.25,H1_bull_ctrl,16.175510149607252,0.0428,1.0,0.9923753814690964,0.9999999999999999,50.0,500,True,True,True,True
D1,0.25,0.25,H1_null_drift_ctrl,16.175510149607252,0.0428,0.02,0.010899065235569357,0.03642056855409787,860.0,500,True,True,True,True
D1,0.25,0.25,H0_ctrl,16.175510149607252,0.0428,0.0428,0.03753178060686818,0.04877023183093561,,5000,True,True,True,True
D2,,0.25,H1_bear_ctrl,8.238273918829101,0.036,1.0,0.9923753814690964,0.9999999999999999,55.0,500,True,True,True,True
D2,,0.25,H1_bull_ctrl,8.238273918829101,0.036,1.0,0.9923753814690964,0.9999999999999999,51.0,500,True,True,True,True
D2,,0.25,H1_null_drift_ctrl,8.238273918829101,0.036,0.02,0.010899065235569357,0.03642056855409787,860.0,500,True,True,True,True
D2,,0.25,H0_ctrl,8.238273918829101,0.036,0.036,0.031182233720822808,0.04153021984685208,,5000,True,True,True,True
D3,,0.25,H1_bear_ctrl,1.6449,0.05,1.0,0.9923753814690964,0.9999999999999999,7.0,500,True,True,True,True
D3,,0.25,H1_bull_ctrl,1.6449,0.05,1.0,0.9923753814690964,0.9999999999999999,6.0,500,True,True,True,True
D3,,0.25,H1_null_drift_ctrl,1.6449,0.05,0.028,0.01675081930862122,0.04644682058455155,,500,True,True,True,True
D3,,0.25,H0_ctrl,1.6449,0.05,0.05,0.044296797964307966,0.05639415915951468,,5000,True,True,True,True
