K,rho_sign_meas,K_eff_meas,K_eff_ana,ljungbox_p_Pt,lambda_naive,lambda_boot,FPR_naive,FPR_boot
1,0.0,1.0,1.0,0.984120424276445,33.5,37.5,0.1115,0.049
5,0.2577415599534342,2.461882379915166,2.461882379915167,0.19465162858495352,14.900000000000015,34.20000000000004,0.571,0.054
10,0.25904514047705035,3.006299797776757,3.001735365386565,0.14685985770374194,10.500000000000004,24.40000000000001,0.6,0.0635
20,0.2881019576606426,3.091784464945219,3.089310167194795,0.004270491895188232,7.4999999999999964,19.899999999999995,0.906,0.0615
30,0.2565631287605355,3.556794027204368,3.5543630866210356,0.00026398295614887536,6.1333333333333275,21.93499999999995,0.971,0.0475
40,0.2589459800172065,3.6075628422905197,3.6039629542072076,0.00010864866230030457,5.325000000000004,23.674999999999994,0.9975,0.0555
50,0.2535884359346775,3.725011576922399,3.724163607302784,0.0003736802337042574,4.779999999999995,18.340000000000007,0.9865,0.0525
60,0.2601653036227403,3.672616073161605,3.6697802294963773,0.00026180926694526727,4.349999999999991,19.766666666666687,1.0,0.049
75,0.2546425985655572,3.7827310980487914,3.7795652154095247,0.00019856763891933597,3.886666666666669,19.280333333333324,1.0,0.0525
97,0.26023043840799664,3.7370099487341837,3.733336317740858,0.00019778244587029782,3.417525773195871,19.78865979381442,1.0,0.0495
