K,c,rho_sign_meas,K_eff_meas,DetRate,CI_low,CI_high,ADD,SEM,ADD_single,budget_reduction,add_reliable
1,0.1,0.0,1.0,0.625,0.6035621290799567,0.64595860909973,468.4888,4.167927436381294,468.4888,,0
5,0.1,0.2577415599534342,2.461882379915166,0.725,0.705013681566209,0.7441236471572271,517.7951724137931,3.8837212586244103,468.4888,,0
10,0.1,0.25904514047705035,3.006299797776757,0.9845,0.97808335411817,0.9890590270662959,423.1868969019807,3.118536340888611,468.4888,1.1070493992835329,1
20,0.1,0.2881019576606426,3.091784464945219,1.0,0.9980829527187469,0.9999999999999998,354.0695,3.1584437177562803,468.4888,1.3231549173255535,1
30,0.1,0.2565631287605355,3.556794027204368,1.0,0.9980829527187469,0.9999999999999998,388.4385,3.030636564794422,468.4888,1.2060823013166821,1
40,0.1,0.2589459800172065,3.6075628422905197,0.951,0.9406443633026171,0.9596264600496927,405.03680336487906,3.2953884537140454,468.4888,1.1566573607829904,1
50,0.1,0.2535884359346775,3.725011576922399,1.0,0.9980829527187469,0.9999999999999998,328.4675,2.8861913523077547,468.4888,1.4262866189196803,1
60,0.1,0.2601653036227403,3.672616073161605,0.999,0.9963610657309615,0.9997257210823479,356.3533533533533,3.1897467111999718,468.4888,1.3146748742264684,1
75,0.1,0.2546425985655572,3.7827310980487914,1.0,0.9980829527187469,0.9999999999999998,341.4875,2.916006853534458,468.4888,1.37190614590578,1
97,0.1,0.26023043840799664,3.7370099487341837,1.0,0.9980829527187469,0.9999999999999998,351.718,3.069263743630381,468.4888,1.3320012055112334,1
1,0.25,0.0,1.0,1.0,0.9980829527187469,0.9999999999999998,329.019,3.2781821271139377,329.019,1.0,1
5,0.25,0.2577415599534342,2.461882379915166,1.0,0.9980829527187469,0.9999999999999998,275.377,2.4080955956312966,329.019,1.1947947722576686,1
10,0.25,0.25904514047705035,3.006299797776757,1.0,0.9980829527187469,0.9999999999999998,196.2915,1.7653848180079115,329.019,1.6761754839104086,1
20,0.25,0.2881019576606426,3.091784464945219,1.0,0.9980829527187469,0.9999999999999998,162.014,1.5946977558353286,329.019,2.0308059797301468,1
