c,Gamma,ADD_Recalib,ADD_Eco_L2,ADD_Eco_L1,ADD_ML,DetRate_Recalib,DetRate_Eco_L2,DetRate_Eco_L1,DetRate_ML
0.5,1.0,3250.0,3250.0,126.06,79.75,0.02,0.02,1.0,1.0
1.0,1.0,1211.1234567901236,1233.6463414634147,19.39,37.64,0.81,0.82,1.0,1.0
2.0,1.0,44.38,44.31,6.37,25.94,1.0,1.0,1.0,1.0
5.0,1.0,4.91,4.85,1.8,24.03,1.0,1.0,1.0,1.0
10.0,1.0,0.9,0.88,0.71,24.0,1.0,1.0,1.0,1.0
0.5,4.999999999999991,2461.0,3250.0,91.32,72.76,0.01,0.02,1.0,1.0
1.0,4.999999999999991,1804.4827586206898,609.6888888888889,17.17,36.92,0.29,0.9,1.0,1.0
2.0,4.999999999999991,272.45,36.68,5.81,25.67,1.0,1.0,1.0,1.0
5.0,4.999999999999991,29.31,4.29,1.66,24.0,1.0,1.0,1.0,1.0
10.0,4.999999999999991,6.6,0.72,0.46,24.0,1.0,1.0,1.0,1.0
0.5,11.58000000000005,1439.5,3250.0,78.55,70.67,0.02,0.02,1.0,1.0
1.0,11.58000000000005,2764.1666666666665,448.63157894736844,16.07,36.18,0.24,0.95,1.0,1.0
2.0,11.58000000000005,686.6836734693877,33.52,5.5,25.43,0.98,1.0,1.0,1.0
5.0,11.58000000000005,75.5,3.99,1.51,24.0,1.0,1.0,1.0,1.0
10.0,11.58000000000005,17.5,0.59,0.38,24.0,1.0,1.0,1.0,1.0
0.5,30.000000000000323,1448.5,3250.0,63.03,66.46,0.02,0.02,1.0,1.0
1.0,30.000000000000323,2991.4615384615386,234.80612244897958,14.74,34.69,0.13,0.98,1.0,1.0
2.0,30.000000000000323,1622.0,29.48,5.05,25.21,0.89,1.0,1.0,1.0
5.0,30.000000000000323,229.93,3.55,1.36,24.0,1.0,1.0,1.0,1.0
10.0,30.000000000000323,52.85,0.45,0.23,24.0,1.0,1.0,1.0,1.0
0.5,49.999999999999396,1690.6666666666667,3250.0,58.21,64.52,0.03,0.02,1.0,1.0
1.0,49.999999999999396,3112.7,181.5,13.87,33.8,0.1,0.98,1.0,1.0
2.0,49.999999999999396,2086.0394736842104,28.59,4.76,25.04,0.76,1.0,1.0,1.0
5.0,49.999999999999396,392.09090909090907,3.27,1.3,24.0,0.99,1.0,1.0,1.0
10.0,49.999999999999396,96.04,0.37,0.24,24.0,1.0,1.0,1.0,1.0
0.5,89.99999999999862,1296.0,3250.0,82.24,61.09,0.02,0.02,1.0,1.0
1.0,89.99999999999862,2064.0,198.65656565656565,13.53,32.6,0.04,0.99,1.0,1.0
2.0,89.99999999999862,2758.05,28.69,4.53,24.82,0.6,1.0,1.0,1.0
5.0,89.99999999999862,682.3814432989691,2.99,1.19,24.0,0.97,1.0,1.0,1.0
10.0,89.99999999999862,189.98,0.39,0.22,24.0,1.0,1.0,1.0,1.0
0.5,139.99999999999986,1326.0,2122.3333333333335,46.44897959183673,57.83,0.02,0.15,0.98,1.0
1.0,139.99999999999986,2577.0,130.48979591836735,12.01010101010101,31.7,0.04,0.98,0.99,1.0
2.0,139.99999999999986,3029.4186046511627,27.434343434343436,4.38,24.7,0.43,0.99,1.0,1.0
5.0,139.99999999999986,985.0208333333334,3.02,1.17,24.0,0.96,1.0,1.0,1.0
10.0,139.99999999999986,324.62,0.42,0.23,24.0,1.0,1.0,1.0,1.0
0.5,199.99999999999488,2332.0,1595.3846153846155,45.78787878787879,59.39,0.01,0.39,0.99,1.0
1.0,199.99999999999488,2420.0,104.08080808080808,10.818181818181818,30.59,0.02,0.99,0.99,1.0
2.0,199.99999999999488,3267.4375,23.151515151515152,4.18,24.63,0.32,0.99,1.0,1.0
5.0,199.99999999999488,1273.3510638297873,2.91,1.04,24.0,0.94,1.0,1.0,1.0
10.0,199.99999999999488,376.92857142857144,0.39,0.19,24.0,0.98,1.0,1.0,1.0
