lambda_c,delta_c,FPR_concept,ADD_concept,SEM_concept,speedup,is_ref
2,0.02,1,15.6675,0.36787206930534966,54.017871389819689,False
5,0.02,1,30.4725,0.40063775330714907,27.773402247928463,False
10,0.02,1,47.234999999999999,0.41662265600900772,17.917328252355247,False
20,0.02,0.51000000000000001,73.222499999999997,0.47254098697890745,11.558264194748883,False
40,0.02,0.021000000000000001,117.675,0.48419875825945696,7.1920543870830684,False
2,0.050000000000000003,1,16.572500000000002,0.40606262986761044,51.068034394327952,False
5,0.050000000000000003,1,33.302500000000002,0.42491467893566587,25.413257262968244,False
10,0.050000000000000003,0.80900000000000005,51.009999999999998,0.45159412086518574,16.591354636345816,False
20,0.050000000000000003,0.032000000000000001,78.237499999999997,0.50325464168251843,10.817382968525324,False
40,0.050000000000000003,0,125.065,0.51085901920197119,6.7670811178187344,False
2,0.10000000000000001,1,21.4375,0.44937760778102864,39.478717201166184,False
5,0.10000000000000001,0.997,39.097499999999997,0.47011433117381135,21.646524713856387,False
10,0.10000000000000001,0.088999999999999996,57.782499999999999,0.53356160316780665,14.646735603340113,True
20,0.10000000000000001,0,87.780000000000001,0.55469946818074378,9.6414331282752332,False
40,0.10000000000000001,0,140.06,0.56976179233079505,6.0425888904755105,False
