data_source,ETF,DeltaFactor,Pipeline,DetRate,CI_low,CI_high,ADD,SEM
yfinance,SPY,0.5,Data,0,0,0.096421830448576343,NaN,0
yfinance,SPY,0.5,Concept,0.83333333333333337,0.6810888526532568,0.9212965937143589,83.033333333333331,10.180947196786496
yfinance,SPY,1,Data,0,0,0.096421830448576343,NaN,0
yfinance,SPY,1,Concept,1,0.90357816955142356,1,51.083333333333336,5.3494362557159469
yfinance,SPY,1.5,Data,0,0,0.096421830448576343,NaN,0
yfinance,SPY,1.5,Concept,1,0.90357816955142356,1,36.138888888888886,2.2716865903391321
yfinance,PFF,0.5,Data,0.22222222222222221,0.11716192974839595,0.38085019827859085,134.875,15.566031584373528
yfinance,PFF,0.5,Concept,0.66666666666666663,0.50333697092966834,0.79785575225413952,141.08333333333334,9.0713589467122642
yfinance,PFF,1,Data,0.25,0.13750323839225387,0.41070767683203424,139.88888888888889,17.188856568237945
yfinance,PFF,1,Concept,0.91666666666666663,0.78172989723081143,0.9712519107287082,73.36363636363636,4.9550666948501529
yfinance,PFF,1.5,Data,0.27777777777777779,0.15848170025813796,0.43992800216345146,138.90000000000001,17.284193164082993
yfinance,PFF,1.5,Concept,1,0.90357816955142356,1,64.222222222222229,6.5327151203028526
yfinance,VNQ,0.5,Data,0,0,0.096421830448576343,NaN,0
yfinance,VNQ,0.5,Concept,0.69444444444444442,0.53143421320916273,0.81995729717194643,90.040000000000006,5.9987443130486344
yfinance,VNQ,1,Data,0.055555555555555552,0.015369663767066846,0.18144974107611211,227,10.999999999999998
yfinance,VNQ,1,Concept,1,0.90357816955142356,1,59.694444444444443,5.4921039199356132
yfinance,VNQ,1.5,Data,0.16666666666666666,0.078703406285640973,0.3189111473467432,185.5,9.7459393253463951
yfinance,VNQ,1.5,Concept,1,0.90357816955142356,1,37.611111111111114,1.7508627251120943
yfinance,BWX,0.5,Data,0.083333333333333329,0.028748089271291799,0.21827010276918848,236,2
yfinance,BWX,0.5,Concept,0.61111111111111116,0.44864170296743472,0.75215344582177046,132.45454545454547,10.748749503977299
yfinance,BWX,1,Data,0.1388888888888889,0.060817253631150966,0.28659851280393189,224,7.0498226928058259
yfinance,BWX,1,Concept,1,0.90357816955142356,1,84.861111111111114,9.8118128333064796
yfinance,BWX,1.5,Data,0.22222222222222221,0.11716192974839595,0.38085019827859085,211.25,10.116729426337065
yfinance,BWX,1.5,Concept,1,0.90357816955142356,1,45.416666666666664,3.2269635341592644
