regime,n_distinct_p_concept,etf_pair,pearson_r,pearson_pvalue,bonferroni_threshold,independence_pass
IID,120,SPY-PFF,-0.42749522162673081,0.018454672713388732,0.0083333333333333332,True
IID,120,SPY-VNQ,0.12911017986436485,0.49652243683678376,0.0083333333333333332,True
IID,120,SPY-BWX,-0.086951433195927824,0.64775520068381209,0.0083333333333333332,True
IID,120,PFF-VNQ,-0.25568570559818043,0.17265077670757215,0.0083333333333333332,True
IID,120,PFF-BWX,-0.077069066742159492,0.68563120651212117,0.0083333333333333332,True
IID,120,VNQ-BWX,-0.00032403748495686557,0.99864406982391563,0.0083333333333333332,True
Cal. A,120,SPY-PFF,0.29889200110508329,0.10861298597330087,0.0083333333333333332,True
Cal. A,120,SPY-VNQ,0.048565604321997524,0.79883737785548292,0.0083333333333333332,True
Cal. A,120,SPY-BWX,0.013233821756826095,0.94466523850754813,0.0083333333333333332,True
Cal. A,120,PFF-VNQ,0.14486423192849274,0.44499758867765865,0.0083333333333333332,True
Cal. A,120,PFF-BWX,0.12840736308078601,0.49888889316667862,0.0083333333333333332,True
Cal. A,120,VNQ-BWX,-0.11643528069363043,0.54005256723165995,0.0083333333333333332,True
Cal. B,120,SPY-PFF,0.0038279206617885253,0.9839831310068029,0.0083333333333333332,True
Cal. B,120,SPY-VNQ,0.2987366828112234,0.10880565247002541,0.0083333333333333332,True
Cal. B,120,SPY-BWX,0.15185996293134579,0.42307941539266447,0.0083333333333333332,True
Cal. B,120,PFF-VNQ,-0.13637501372575128,0.47239652202302573,0.0083333333333333332,True
Cal. B,120,PFF-BWX,0.084470966830192423,0.65718589232662228,0.0083333333333333332,True
Cal. B,120,VNQ-BWX,0.17285902757235447,0.3610006072595956,0.0083333333333333332,True
