w,ADD_Data,SEM_Data,ADD_Concept,SEM_Concept
50,384.10000000000002,22.869390022473269,26.100000000000001,0.3860051813123756
100,418.39999999999998,12.150061728238256,27.300000000000001,0.51088159097779207
200,454.89999999999998,14.582489499396184,32.5,1.504991694329241
500,622.29999999999995,12.417769525965602,43.299999999999997,1.9081404560461472
1000,892.10000000000002,9.1175106251651812,55.200000000000003,2.7232333722984521
2000,1214.8,46.687000331998199,78,4.0693979898751609
5000,1840.8,105.65403920343036,148.5,10.735222401049734
10000,2352.5,132.81477703930386,197.69999999999999,12.208234925655715
20000,3838,273.46239229554033,349.19999999999999,21.948029524310378
50000,5957.1999999999998,556.23985473894265,702.29999999999995,41.860733390613213
