lambda_c,delta_c,FPR_concept,ADD_concept,SEM_concept,speedup,is_ref
2,0.02,1,18.199999999999999,3.8047338934543107,44.934065934065934,False
5,0.02,1,35.399999999999999,3.6088779419647876,23.101694915254235,False
10,0.02,1,51.200000000000003,3.5883143674990348,15.972656249999998,False
20,0.02,0.55000000000000004,78.200000000000003,3.1616451413781399,10.45780051150895,False
40,0.02,0,121.7,2.9018959319727502,6.719802793755135,False
2,0.050000000000000003,1,18.699999999999999,3.8027621540138421,43.732620320855617,False
5,0.050000000000000003,1,37.5,3.4849677186453243,21.808,False
10,0.050000000000000003,0.84999999999999998,54.200000000000003,3.5490843889656944,15.088560885608855,False
20,0.050000000000000003,0,83.299999999999997,3.0134697609234435,9.8175270108043211,False
40,0.050000000000000003,0,129,2.7964262908219126,6.3395348837209298,False
2,0.10000000000000001,1,27,3.5383612025908264,30.288888888888888,False
5,0.10000000000000001,1,41.600000000000001,3.4790803382503257,19.658653846153843,False
10,0.10000000000000001,0.050000000000000003,60.899999999999999,3.7401871610923432,13.428571428571429,True
20,0.10000000000000001,0,91.900000000000006,2.8860006930006095,8.8988030467899879,False
40,0.10000000000000001,0,143.59999999999999,2.7971413979275339,5.694986072423398,False
