Gamma,arm,delta,lambda_star,FPR_achieved,CI_low,CI_high,n_bisection_iter,bisection_converged
1,Recalib,0.125,164.0633359375,0.050000000000000003,0.04128123361873174,0.060444108934395897,7,True
1,Eco_L1,0.25,18.067388183593749,0.048000000000000001,0.039466918990741021,0.058266091751511623,11,True
1,Oracle_Eco,0.25,17.579107421875001,0.050000000000000003,0.04128123361873174,0.060444108934395897,9,True
1,Concept,0.097857898926720588,10.499036376953125,0.048500000000000001,0.039920093442877079,0.058811000252094313,12,True
11.58,Recalib,0.125,500.00049999999999,0.049500000000000002,0.040827254610808245,0.059900004989600644,1,True
11.58,Eco_L1,0.25,19.532230468750001,0.052999999999999999,0.044010457205797063,0.063703383063643038,8,True
11.58,Oracle_Eco,0.25,17.823247802734375,0.049000000000000002,0.040373539950307263,0.059355636697382877,12,True
11.58,Concept,0.097857898926720588,10.621106567382812,0.051499999999999997,0.042644720050338814,0.062074871360945055,13,True
50,Recalib,0.125,1000.0005,0.051999999999999998,0.043099720209557914,0.062617954154444683,1,True
50,Eco_L1,0.25,21.241213134765626,0.049500000000000002,0.040827254610808245,0.059900004989600644,12,True
50,Oracle_Eco,0.25,17.579107421875001,0.050999999999999997,0.042189969917315481,0.061531538541249639,9,True
50,Concept,0.097857898926720588,10.743176757812499,0.052999999999999999,0.044010457205797063,0.063703383063643038,10,True
200,Recalib,0.125,937.50006250000001,0.048500000000000001,0.039920093442877079,0.058811000252094313,4,True
200,Eco_L1,0.25,20.997072753906252,0.051499999999999997,0.042644720050338814,0.062074871360945055,11,True
200,Oracle_Eco,0.25,17.823247802734375,0.049500000000000002,0.040827254610808245,0.059900004989600644,12,True
200,Concept,0.097857898926720588,10.621106567382812,0.051499999999999997,0.042644720050338814,0.062074871360945055,13,True
