Gamma,arm,c,lambda_star,delta,DetRate,CI_low,CI_high,n_detected,n_censored,horizon,ADD_conditional,SEM
1,Recalib,0.25,164.0633359375,0.125,0.17899999999999999,0.1628193597242556,0.19641138463030872,358,1642,5000,2533.0921787709499,62.86825342233832
1,Eco_L1,0.25,18.067388183593749,0.25,1,0.99808295271874692,1,2000,0,5000,368.9255,7.3437575778722621
1,Oracle_Eco,0.25,17.579107421875001,0.25,1,0.99808295271874692,1,2000,0,5000,341.23849999999999,6.1867044106379696
1,Concept,0.25,10.499036376953125,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,438.73599999999999,7.6363143138656939
1,Recalib,0.5,164.0633359375,0.125,0.87350000000000005,0.85821202031665877,0.88735594536424522,1747,253,5000,1483.2089295935891,23.401817133724553
1,Eco_L1,0.5,18.067388183593749,0.25,1,0.99808295271874692,1,2000,0,5000,70.328500000000005,0.69897537665040943
1,Oracle_Eco,0.5,17.579107421875001,0.25,1,0.99808295271874692,1,2000,0,5000,67.222999999999999,0.66994107653062396
1,Concept,0.5,10.499036376953125,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,99.219999999999999,0.97661312022381541
1,Recalib,1,164.0633359375,0.125,1,0.99808295271874692,1,2000,0,5000,236.23349999999999,2.4715525029346193
1,Eco_L1,1,18.067388183593749,0.25,1,0.99808295271874692,1,2000,0,5000,25.635000000000002,0.14401304586282918
1,Oracle_Eco,1,17.579107421875001,0.25,1,0.99808295271874692,1,2000,0,5000,23.962499999999999,0.14399275617862156
1,Concept,1,10.499036376953125,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,42.121000000000002,0.20058488639058566
1,Recalib,2,164.0633359375,0.125,0.99950000000000006,0.99717313749673375,0.99991173226929442,1999,1,5000,64.597798899449728,0.69489800762318121
1,Eco_L1,2,18.067388183593749,0.25,1,0.99808295271874692,1,2000,0,5000,12.172499999999999,0.046091583744172028
1,Oracle_Eco,2,17.579107421875001,0.25,1,0.99808295271874692,1,2000,0,5000,10.635999999999999,0.041116873648774956
1,Concept,2,10.499036376953125,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,28.449999999999999,0.043985422115507079
11.58,Recalib,0.25,500.00049999999999,0.125,0.097000000000000003,0.084791316151077489,0.11075382395761238,194,1806,5000,2746.3298969072166,85.263990034151774
11.58,Eco_L1,0.25,19.532230468750001,0.25,1,0.99808295271874692,1,2000,0,5000,409.21949999999998,8.7342366068493469
11.58,Oracle_Eco,0.25,17.823247802734375,0.25,1,0.99808295271874692,1,2000,0,5000,291.53699999999998,5.1370459347730169
11.58,Concept,0.25,10.621106567382812,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,381.93549999999999,6.8110474490750521
11.58,Recalib,0.5,500.00049999999999,0.125,0.23949999999999999,0.22130661403712606,0.25869216759640667,479,1521,5000,2622.0187891440501,56.297478216534607
11.58,Eco_L1,0.5,19.532230468750001,0.25,1,0.99808295271874692,1,2000,0,5000,77.128500000000003,0.80349349392038394
11.58,Oracle_Eco,0.5,17.823247802734375,0.25,1,0.99808295271874692,1,2000,0,5000,64.802999999999997,0.75696868911345938
11.58,Concept,0.5,10.621106567382812,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,96.859499999999997,1.0711828024072674
11.58,Recalib,1,500.00049999999999,0.125,0.65749999999999997,0.63641830973932201,0.67797782036708332,1315,685,5000,1986.6737642585551,33.037364501302605
11.58,Eco_L1,1,19.532230468750001,0.25,1,0.99808295271874692,1,2000,0,5000,30.886500000000002,0.19797071772749314
11.58,Oracle_Eco,1,17.823247802734375,0.25,1,0.99808295271874692,1,2000,0,5000,23.901499999999999,0.19162791942916976
11.58,Concept,1,10.621106567382812,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,42.628500000000003,0.28060936314089946
11.58,Recalib,2,500.00049999999999,0.125,0.87150000000000005,0.85611835830869887,0.88545727556133014,1743,257,5000,1311.2409638554218,25.269008139237634
11.58,Eco_L1,2,19.532230468750001,0.25,1,0.99808295271874692,1,2000,0,5000,16.096,0.081796927623746005
11.58,Oracle_Eco,2,17.823247802734375,0.25,1,0.99808295271874692,1,2000,0,5000,10.7455,0.065658361121738298
11.58,Concept,2,10.621106567382812,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,28.571999999999999,0.062768447001415317
50,Recalib,0.25,1000.0005,0.125,0.060999999999999999,0.051328981108122618,0.072354186404817444,122,1878,5000,2980.4918032786886,107.72759986990367
50,Eco_L1,0.25,21.241213134765626,0.25,0.995,0.99082030405005805,0.99728181914150138,1990,10,5000,403.55879396984926,8.422625709268118
50,Oracle_Eco,0.25,17.579107421875001,0.25,1,0.99808295271874692,1,2000,0,5000,248.46250000000001,4.5136318229327808
50,Concept,0.25,10.743176757812499,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,345.24849999999998,5.9599308520951721
50,Recalib,0.5,1000.0005,0.125,0.11550000000000001,0.10222324031966848,0.13025096903961503,231,1769,5000,2963.6017316017314,77.939308476188202
50,Eco_L1,0.5,21.241213134765626,0.25,1,0.99808295271874692,1,2000,0,5000,84.271500000000003,1.0696111105625818
50,Oracle_Eco,0.5,17.579107421875001,0.25,1,0.99808295271874692,1,2000,0,5000,62.389499999999998,0.91837525087826311
50,Concept,0.5,10.743176757812499,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,99.290499999999994,1.4693650232875528
50,Recalib,1,1000.0005,0.125,0.32050000000000001,0.30040854076729867,0.34127967920667107,641,1359,5000,2626.4492979719189,50.609355419646107
50,Eco_L1,1,21.241213134765626,0.25,1,0.99808295271874692,1,2000,0,5000,33.727499999999999,0.29864731203125156
50,Oracle_Eco,1,17.579107421875001,0.25,1,0.99808295271874692,1,2000,0,5000,23.41,0.25402207307004526
50,Concept,1,10.743176757812499,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,43.837499999999999,0.38860977297647364
50,Recalib,2,1000.0005,0.125,0.53600000000000003,0.51409564590831813,0.55776632668743176,1072,928,5000,2157.4580223880598,39.179216172120228
50,Eco_L1,2,21.241213134765626,0.25,1,0.99808295271874692,1,2000,0,5000,17.609999999999999,0.11519585514471109
50,Oracle_Eco,2,17.579107421875001,0.25,1,0.99808295271874692,1,2000,0,5000,10.183,0.088318489444673437
50,Concept,2,10.743176757812499,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,29.153500000000001,0.1163990689250705
200,Recalib,0.25,937.50006250000001,0.125,0.072999999999999995,0.062399359493402709,0.085237798884787289,146,1854,5000,2804.6232876712329,106.27691351726337
200,Eco_L1,0.25,20.997072753906252,0.25,0.98799999999999999,0.98220611612951969,0.99192284572397726,1976,24,5000,344.52732793522267,9.2444292566452209
200,Oracle_Eco,0.25,17.823247802734375,0.25,1,0.99808295271874692,1,2000,0,5000,217.93000000000001,5.0989299949643137
200,Concept,0.25,10.621106567382812,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,293.85700000000003,6.3632673101898254
200,Recalib,0.5,937.50006250000001,0.125,0.106,0.093255776941460769,0.12025485631616652,212,1788,5000,2842.617924528302,87.761606225195635
200,Eco_L1,0.5,20.997072753906252,0.25,0.99950000000000006,0.99717313749673375,0.99991173226929442,1999,1,5000,84.034517258629322,1.9514118640019613
200,Oracle_Eco,0.5,17.823247802734375,0.25,1,0.99808295271874692,1,2000,0,5000,62.435000000000002,1.6263949298168225
200,Concept,0.5,10.621106567382812,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,94.901499999999999,2.1501865151423374
200,Recalib,1,937.50006250000001,0.125,0.2525,0.23394670491371472,0.27200223349050545,505,1495,5000,2647.0455445544553,56.349576536672487
200,Eco_L1,1,20.997072753906252,0.25,1,0.99808295271874692,1,2000,0,5000,33.533499999999997,0.51629421721956859
200,Oracle_Eco,1,17.823247802734375,0.25,1,0.99808295271874692,1,2000,0,5000,22.829499999999999,0.40017406777208664
200,Concept,1,10.621106567382812,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,43.182000000000002,0.63506069713415747
200,Recalib,2,937.50006250000001,0.125,0.41649999999999998,0.39507486298073946,0.43824528391522966,833,1167,5000,2276.8103241296517,47.236304595690349
200,Eco_L1,2,20.997072753906252,0.25,1,0.99808295271874692,1,2000,0,5000,17.213000000000001,0.15619863798142933
200,Oracle_Eco,2,17.823247802734375,0.25,1,0.99808295271874692,1,2000,0,5000,10.0345,0.12457694241829484
200,Concept,2,10.621106567382812,0.097857898926720588,1,0.99808295271874692,1,2000,0,5000,29.123000000000001,0.12591212185971454
