Gamma,arm,c,lambda_star,delta,DetRate,CI_low,CI_high,n_detected,n_censored,horizon,ADD_conditional,SEM
1,Recalib,0.25,343.75065625000002,0.125,0.050000000000000003,0.013820667386148344,0.16503877369140962,2,38,5000,4704,191.99999999999997
1,Eco_L1,0.25,19.532230468750001,0.25,1,0.91237839880271354,1,40,0,5000,485.02499999999998,65.977156958940071
1,Oracle_Eco,0.25,20.752932373046875,0.25,1,0.91237839880271354,1,40,0,5000,596.07500000000005,89.552272283587797
1,Concept,0.25,11.231457519531249,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,467.42500000000001,50.162567608751488
1,Recalib,0.5,343.75065625000002,0.125,0.67500000000000004,0.52017746189877678,0.79915497768217303,27,13,5000,2438.5185185185187,228.48465489485875
1,Eco_L1,0.5,19.532230468750001,0.25,1,0.91237839880271354,1,40,0,5000,79.674999999999997,5.0102954900320888
1,Oracle_Eco,0.5,20.752932373046875,0.25,1,0.91237839880271354,1,40,0,5000,80.974999999999994,4.9746134368565613
1,Concept,0.5,11.231457519531249,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,115.52500000000001,8.6230897178477317
1,Recalib,1,343.75065625000002,0.125,1,0.91237839880271354,1,40,0,5000,479.75,20.4351616909026
1,Eco_L1,1,19.532230468750001,0.25,1,0.91237839880271354,1,40,0,5000,26.800000000000001,1.0166561579952897
1,Oracle_Eco,1,20.752932373046875,0.25,1,0.91237839880271354,1,40,0,5000,27.199999999999999,1.0403401810502622
1,Concept,1,11.231457519531249,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,42.75,1.331448988980205
1,Recalib,2,343.75065625000002,0.125,1,0.91237839880271354,1,40,0,5000,146.44999999999999,15.226619319383925
1,Eco_L1,2,19.532230468750001,0.25,1,0.91237839880271354,1,40,0,5000,13.074999999999999,0.31088686209880434
1,Oracle_Eco,2,20.752932373046875,0.25,1,0.91237839880271354,1,40,0,5000,12.225,0.25188392727705516
1,Concept,2,11.231457519531249,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,29.475000000000001,0.33776698841292713
11.58,Recalib,0.25,750.00025000000005,0.125,0,0,0.087621601197286639,0,40,5000,NaN,NaN
11.58,Eco_L1,0.25,20.508791992187501,0.25,1,0.91237839880271354,1,40,0,5000,513.85000000000002,89.191349686919523
11.58,Oracle_Eco,0.25,19.532230468750001,0.25,1,0.91237839880271354,1,40,0,5000,352.625,63.415203704611997
11.58,Concept,0.25,9.0341940917968735,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,265.60000000000002,27.262324900388791
11.58,Recalib,0.5,750.00025000000005,0.125,0.125,0.05459500250945401,0.261121198388511,5,35,5000,2846,332.61584448128741
11.58,Eco_L1,0.5,20.508791992187501,0.25,1,0.91237839880271354,1,40,0,5000,76.349999999999994,4.9118577090390305
11.58,Oracle_Eco,0.5,19.532230468750001,0.25,1,0.91237839880271354,1,40,0,5000,59.600000000000001,4.0797812912722886
11.58,Concept,0.5,9.0341940917968735,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,67.75,4.6857325727776811
11.58,Recalib,1,750.00025000000005,0.125,0.375,0.24222979167233266,0.52967560862698893,15,25,5000,2325.8666666666668,349.40782375554681
11.58,Eco_L1,1,20.508791992187501,0.25,1,0.91237839880271354,1,40,0,5000,32.725000000000001,1.3783990620857858
11.58,Oracle_Eco,1,19.532230468750001,0.25,1,0.91237839880271354,1,40,0,5000,25.175000000000001,1.3008318344576526
11.58,Concept,1,9.0341940917968735,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,37.200000000000003,2.0832666655999654
11.58,Recalib,2,750.00025000000005,0.125,0.90000000000000002,0.76948224772477714,0.96042047131739361,36,4,5000,1738.25,192.56060837259886
11.58,Eco_L1,2,20.508791992187501,0.25,1,0.91237839880271354,1,40,0,5000,17.300000000000001,0.46298917304724779
11.58,Oracle_Eco,2,19.532230468750001,0.25,1,0.91237839880271354,1,40,0,5000,12.025,0.51700257897487001
11.58,Concept,2,9.0341940917968735,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,25,0.49094362306240519
50,Recalib,0.25,3000.0002500000001,0.125,0.050000000000000003,0.013820667386148344,0.16503877369140962,2,38,5000,3708.5,397.49999999999994
50,Eco_L1,0.25,23.4384765625,0.25,1,0.91237839880271354,1,40,0,5000,599.20000000000005,85.235121267209422
50,Oracle_Eco,0.25,18.555668945312501,0.25,1,0.91237839880271354,1,40,0,5000,295.14999999999998,44.354191401397394
50,Concept,0.25,11.719738281249999,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,385.85000000000002,44.232537478590032
50,Recalib,0.5,3000.0002500000001,0.125,0,0,0.087621601197286639,0,40,5000,NaN,NaN
50,Eco_L1,0.5,23.4384765625,0.25,1,0.91237839880271354,1,40,0,5000,90.825000000000003,5.4039263384871248
50,Oracle_Eco,0.5,18.555668945312501,0.25,1,0.91237839880271354,1,40,0,5000,64.775000000000006,4.9589969390014383
50,Concept,0.5,11.719738281249999,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,126.675,13.691537134396713
50,Recalib,1,3000.0002500000001,0.125,0.125,0.05459500250945401,0.261121198388511,5,35,5000,3135.5999999999999,805.39596472790936
50,Eco_L1,1,23.4384765625,0.25,1,0.91237839880271354,1,40,0,5000,38.5,2.6338525940491597
50,Oracle_Eco,1,18.555668945312501,0.25,1,0.91237839880271354,1,40,0,5000,26.550000000000001,2.3683138002406388
50,Concept,1,11.719738281249999,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,45.825000000000003,2.5769907664282399
