nu,arm,lambda_star,FPR_achieved,DetRate,ADD_conditional,SEM,n_detected,n_censored,ratio_to_eco,analytic_prediction,ratio_concept_to_arm,ratio_concept_to_arm_se,ratio_concept_to_arm_se_conditional,n_alarms_calib,n_alarms_holdout,FPR_holdout,p_conditional,p_binom_holdout,distinct_sup_fraction,n_bisection_iter,bisection_converged,horizon
4,Eco_L1,29.297845703124999,0.050500000000000003,1,107.417,1.2291336136564281,2000,0,1,0.88888888888888873,0.58960872115214535,0.021072921428612217,0.0069355405239166076,101,113,0.056500000000000002,0.40034453558403926,0.1864316067205754,1,9,True,5000
4,Oracle_Eco,21.485353515625,0.049500000000000002,1,71.046000000000006,0.80454837706972149,2000,0,0.66140368842920583,0.88888888888888873,0.89145060946429067,0.019745912372755015,0.008525255807454727,99,105,0.052499999999999998,0.66720669612367745,0.6005678358512907,1,9,True,5000
4,Concept,8.7900537109374994,0.049000000000000002,1,63.334000000000003,0.75069633973881111,2000,0,0.58960872115214535,0.88888888888888873,1,0,0,98,119,0.059499999999999997,0.14349505493700274,0.056422766435669902,0.82926829268292679,10,True,5000
4.5,Eco_L1,26.368161132812499,0.050000000000000003,1,99.489000000000004,1.0988330885891129,2000,0,1,0.97437440731581215,0.705017640141121,0.024612047808367465,0.0075387880270137526,100,97,0.048500000000000001,0.82700498188119276,0.76919925670945755,1,10,True,5000
4.5,Oracle_Eco,20.508791992187501,0.050999999999999997,1,70.478999999999999,0.85730873589058743,2000,0,0.70840997497210745,0.97437440731581215,0.99521133954795038,0.027293980046099557,0.0095483619016025565,102,78,0.039,0.067698707851772066,0.020111513681869631,1,10,True,5000
4.5,Concept,9.0341940917968735,0.052999999999999999,1,70.141499999999994,0.84873547989489406,2000,0,0.705017640141121,0.97437440731581215,1,0,0,106,129,0.064500000000000002,0.1226727504565775,0.004170622864435496,0.65000000000000002,12,True,5000
5,Eco_L1,25.391599609375,0.051999999999999998,1,94.531999999999996,0.92784693671369345,2000,0,1,1.0409348391773936,0.76733804426014474,0.019923546011641324,0.0073836972415502805,104,85,0.042500000000000003,0.15779012790262284,0.11879622154062482,1,9,True,5000
5,Oracle_Eco,19.532230468750001,0.048000000000000001,1,66.859499999999997,0.75382723990899547,2000,0,0.70726843820082086,1.0409348391773936,1.0849318346682222,0.022556671647087814,0.0096516551392329085,96,95,0.047500000000000001,0.94107628553811673,0.61641791926400014,1,8,True,5000
5,Concept,9.4004046630859364,0.052999999999999999,1,72.537999999999997,0.84235180078049277,2000,0,0.76733804426014474,1.0409348391773936,1,0,0,106,93,0.0465,0.34576836097128333,0.47781764028540946,0.92500000000000004,13,True,5000
6,Eco_L1,23.4384765625,0.048500000000000001,1,91.034999999999997,0.98600861760787784,2000,0,1,1.1377777777777778,0.84673477234030869,0.025272928012726625,0.0082940061524536604,97,76,0.037999999999999999,0.10340684067566301,0.010880425200316837,1,7,True,5000
