w,Gamma,alpha,beta,s_max,v_max,dmu_std_target,delta_P,delta_C,rho,budget,mon_len,warmup,n_calib,n_val,n_drift,lambda_star_Data,lambda_star_Concept,lambda_C_literal,lambda_iid_H,w_star_predicted,w_over_wstar_predicted,regime_predicted,w_delta_applied,w_over_wdelta_applied,regime_applied,FPR_Data_val,FPR_Concept_val,FPR_Concept_literal,n_alarm_Data_null,n_alarm_Concept_null,censored_Data,DetRate_Data,ADD_Data,MED_Data,SEM_Data,DetRate_Concept,ADD_Concept,MED_Concept,SEM_Concept,DetRate_Concept_literal,n_detected_Concept,realised_horizon_margin,horizon_cap_bound
85,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,653.00070144914309,18.800000000000001,10,282.536301764813,1004.5735173859981,0.084613020877932946,saturated,1160.8901359095878,0.073219676324840402,saturated,0.025000000000000001,0.085000000000000006,1,10,34,0,1,496.96499999999997,469,10.103137775948593,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
139,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,653.00070144914309,18.800000000000001,10,282.536301764813,1004.5735173859981,0.13836717531803153,saturated,1160.8901359095878,0.11973570599003312,saturated,0.025000000000000001,0.085000000000000006,1,10,34,0,1,530.22000000000003,503,10.11404289387522,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
227,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,653.00070144914309,18.800000000000001,10,282.536301764813,1004.5735173859981,0.22596653810930328,saturated,1160.8901359095878,0.195539606185162,saturated,0.025000000000000001,0.085000000000000006,1,10,34,0,1,581.89999999999998,554,10.000373426611587,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
372,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,653.00070144914309,18.800000000000001,10,282.536301764813,1004.5735173859981,0.37030639725401243,saturated,1160.8901359095878,0.32044375991577212,saturated,0.025000000000000001,0.085000000000000006,1,10,34,0,1,669.40750000000003,638.5,9.7268826828635309,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
609,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,653.00070144914309,18.800000000000001,10,282.536301764813,1004.5735173859981,0.60622740840777845,saturated,1160.8901359095878,0.52459744566856237,saturated,0.025000000000000001,0.085000000000000006,1,10,34,0,1,815.125,778,9.9516707297459952,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
997,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,653.00070144914309,18.800000000000001,10,282.536301764813,1004.5735173859981,0.99246096253293126,saturated,1160.8901359095878,0.85882373289253977,saturated,0.025000000000000001,0.085000000000000006,1,10,34,0,1,1051.9974999999999,1031.5,10.301405419573637,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
1633,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,653.00070144914309,18.800000000000001,10,282.536301764813,1004.5735173859981,1.6255654481607589,ramp,1160.8901359095878,1.4066791933936984,ramp,0.025000000000000001,0.085000000000000006,1,10,34,0,1,1410.0025000000001,1383,11.293974760867975,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
2673,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,653.00070144914309,18.800000000000001,10,282.536301764813,1004.5735173859981,2.66083064478488,ramp,1160.8901359095878,2.3025434684270398,ramp,0.025000000000000001,0.085000000000000006,1,10,34,0,1,1943.2825,1921,14.733846147225112,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
4377,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,653.00070144914309,18.800000000000001,10,282.536301764813,1004.5735173859981,4.3570728515613242,ramp,1160.8901359095878,3.7703826267508993,ramp,0.025000000000000001,0.085000000000000006,1,10,34,0,1,2699.0625,2657.5,21.871119625399754,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
7166,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,653.00070144914309,18.800000000000001,10,282.536301764813,1004.5735173859981,7.1333753836619707,ramp,1160.8901359095878,6.1728494181624267,ramp,0.025000000000000001,0.085000000000000006,1,10,34,0,1,3819.8775000000001,3765.5,30.254221002291793,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
