phi,arm,n_ols,N_seeds,lb_reject_rate,lb_ci_low,lb_ci_high,fpr_concept,fpr_ci_low,fpr_ci_high,lb_pvalue_binom,fpr_pvalue_binom
0,NAIVE,,10000,0.049200000000000001,0.045131271500572244,0.053614941430429768,0.0516,0.047433804428009561,0.056110565310813203,0.7307686562827721,0.64836878512088614
0,ORACLE,,10000,0.049200000000000001,0.045131271500572244,0.053614941430429768,0.0516,0.047433804428009561,0.056110565310813203,0.7307686562827721,0.64836878512088614
0,OLS-125,125,10000,0.052400000000000002,0.04820190179081859,0.056941853550611092,0.048399999999999999,0.044364369328904134,0.052782457999490946,0.27075594899761246,0.31568404224180591
0,OLS-250,250,10000,0.047800000000000002,0.043789399861243195,0.052157888265196711,0.051999999999999998,0.047817817398564257,0.056526245141561952,0.32386116594031444,0.53803200029835363
0,OLS-500,500,10000,0.048899999999999999,0.044843646588557176,0.053302796741467234,0.053199999999999997,0.048970281774575262,0.057772859169461323,0.62998099449169254,0.24476064883091558
0,OLS-1000,1000,10000,0.056000000000000001,0.051661752823658105,0.060679237729502705,0.054300000000000001,0.050027254754326837,0.058915041393294267,0.0067681683965221543,0.095950074857410375
0.02,NAIVE,,10000,0.070400000000000004,0.065549236280206466,0.075580695119878874,0.064399999999999999,0.059754277404978358,0.069380261975555108,8.3659950144378233e-19,1.4517879336930637e-09
0.02,ORACLE,,10000,0.049200000000000001,0.045131271500572244,0.053614941430429768,0.0516,0.047433804428009561,0.056110565310813203,0.7307686562827721,0.64836878512088614
0.02,OLS-125,125,10000,0.0516,0.047433804428009561,0.056110565310813203,0.048399999999999999,0.044364369328904134,0.052782457999490946,0.46280976474303565,0.31568404224180591
0.02,OLS-250,250,10000,0.047399999999999998,0.043406187289910587,0.051741408035225846,0.051799999999999999,0.047625801936871992,0.056318414202602488,0.24193886168139467,0.58422119159427222
0.02,OLS-500,500,10000,0.048599999999999997,0.044556065508316638,0.052990608220730172,0.053400000000000003,0.049162420223205702,0.057980567121482626,0.53564466898291374,0.20969924738599038
0.02,OLS-1000,1000,10000,0.056300000000000003,0.051950315714230484,0.060990444439907913,0.054300000000000001,0.050027254754326837,0.058915041393294267,0.0044318839641455821,0.095950074857410375
0.050000000000000003,NAIVE,,10000,0.21510000000000001,0.20715687496778851,0.22326192730382305,0.085400000000000004,0.080080314800088648,0.091038096648876382,0,1.0073977323248267e-47
0.050000000000000003,ORACLE,,10000,0.049200000000000001,0.045131271500572244,0.053614941430429768,0.0516,0.047433804428009561,0.056110565310813203,0.7307686562827721,0.64836878512088614
0.050000000000000003,OLS-125,125,10000,0.052200000000000003,0.04800985071545024,0.056734058225327712,0.050000000000000003,0.045898482690584767,0.054447115843024162,0.3127092246817279,0.80191061312612388
0.050000000000000003,OLS-250,250,10000,0.048599999999999997,0.044556065508316638,0.052990608220730172,0.051799999999999999,0.047625801936871992,0.056318414202602488,0.53564466898291374,0.58422119159427222
0.050000000000000003,OLS-500,500,10000,0.047800000000000002,0.043789399861243195,0.052157888265196711,0.054399999999999997,0.050123368621811312,0.059018850726135649,0.32386116594031444,0.087191626426879859
0.050000000000000003,OLS-1000,1000,10000,0.055300000000000002,0.050988580601897746,0.059952947548982005,0.054800000000000001,0.05050786586430546,0.059434046284944975,0.01598812873139762,0.058395923731174075
0.074999999999999997,NAIVE,,10000,0.50360000000000005,0.4938009332895959,0.51339630192213548,0.1094,0.10343148602970417,0.11566849349746838,0,4.6665765133279798e-121
0.074999999999999997,ORACLE,,10000,0.049200000000000001,0.045131271500572244,0.053614941430429768,0.0516,0.047433804428009561,0.056110565310813203,0.7307686562827721,0.64836878512088614
0.074999999999999997,OLS-125,125,10000,0.050099999999999999,0.045994405465920069,0.054551116268014718,0.051499999999999997,0.047337812436656745,0.056006634101840147,0.96339858899711084,0.68149169337850379
0.074999999999999997,OLS-250,250,10000,0.047,0.043023056170192572,0.051324846353640416,0.0521,0.047913831831174022,0.056630153909278058,0.17580986089185247,0.50835134327231812
0.074999999999999997,OLS-500,500,10000,0.048000000000000001,0.043981036388118365,0.05236609813897327,0.055,0.050700139398540928,0.059641619151361236,0.37091464170556943,0.049806136198270345
0.074999999999999997,OLS-1000,1000,10000,0.055199999999999999,0.050892429427894396,0.059849175522659483,0.055,0.050700139398540928,0.059641619151361236,0.01811071408015081,0.049806136198270345
0.10000000000000001,NAIVE,,10000,0.82020000000000004,0.81255081554241171,0.82760327190100713,0.13769999999999999,0.13108524770141053,0.14459299751798169,0,1.6607690749214572e-240
0.10000000000000001,ORACLE,,10000,0.049200000000000001,0.045131271500572244,0.053614941430429768,0.0516,0.047433804428009561,0.056110565310813203,0.7307686562827721,0.64836878512088614
