scope,statistic,phi,n_trajectories,exponent,exponent_se,exponent_ci_low,exponent_ci_high,distance_from_minus_half,z_against_minus_half
per_phi,eta_rmse_over_sigma,0,10000,-0.43780868180807631,0.0011725973904811117,-0.44010697269341931,-0.4355103909227333,0.062191318191923695,53.037230593193513
per_phi,eta_rmse_over_sigma,0.02,10000,-0.43778222296640679,0.0011724933033936766,-0.44008030984105839,-0.43548413609175518,0.062217777033593213,53.064505233001711
per_phi,eta_rmse_over_sigma,0.050000000000000003,10000,-0.4377554789354462,0.0011723067640584616,-0.44005320019300076,-0.43545775767789163,0.062244521064553804,53.09576211013804
per_phi,eta_rmse_over_sigma,0.074999999999999997,10000,-0.43774544447221686,0.0011721287845906621,-0.44004281689001457,-0.43544807205441916,0.06225455552778314,53.112385214158913
per_phi,eta_rmse_over_sigma,0.10000000000000001,10000,-0.43774714550177585,0.0011719357262097163,-0.44004413952514687,-0.43545015147840482,0.062252854498224153,53.119683192492836
per_phi,eta_rmse_over_sigma,0.125,10000,-0.43776133980285786,0.0011717327737791573,-0.44005793603946503,-0.4354647435662507,0.062238660197142137,53.116769958055805
per_phi,eta_rmse_over_sigma,0.14999999999999999,10000,-0.43778893261676349,0.0011715252433912725,-0.4400851220938104,-0.43549274313971659,0.062211067383236507,53.102626455705753
pooled,eta_rmse_over_sigma,NaN,10000,-0.43776989230050622,0.0011690399027491113,-0.4400612105098945,-0.43547857409111795,0.062230107699493775,53.23180804449327
per_phi,sd_phi_hat,0,10000,-0.45787233295390894,0.0013037671241255084,-0.46042771651719494,-0.45531694939062295,0.042127667046091055,32.31226364474243
per_phi,sd_phi_hat,0.02,10000,-0.45787968193182998,0.0013037528486863367,-0.46043503751525522,-0.45532432634840475,0.042120318068170015,32.306980660184564
per_phi,sd_phi_hat,0.050000000000000003,10000,-0.45791220065611404,0.0013036930182341261,-0.46046743897185294,-0.45535696234037515,0.042087799343885957,32.283519782053126
per_phi,sd_phi_hat,0.074999999999999997,10000,-0.45795896915949869,0.0013036101414981311,-0.46051404503683502,-0.45540389328216235,0.042041030840501314,32.249696057279088
per_phi,sd_phi_hat,0.10000000000000001,10000,-0.45802374784828026,0.0013035010558333448,-0.4605786099177136,-0.45546888577884692,0.04197625215171974,32.20269900348012
per_phi,sd_phi_hat,0.125,10000,-0.45810682645207673,0.0013033713627356885,-0.46066143432303869,-0.45555221858111478,0.041893173547923268,32.142162046580744
per_phi,sd_phi_hat,0.14999999999999999,10000,-0.45820865776794728,0.001303228701322996,-0.46076298602254034,-0.45565432951335422,0.041791342232052719,32.067542856927176
pooled,sd_phi_hat,NaN,10000,-0.4579946309670937,0.0012998487637347843,-0.46054233454401389,-0.45544692739017351,0.042005369032906303,32.315581785233675
