record_type,H,lambda_units,lambda_value,exact_level,enumerated_level,abs_difference,n_streams,operator,realised_level,disagreements
exact_survival,5000,50,10,0.13161587649264164,NaN,NaN,NaN,,NaN,NaN
exact_survival,5000,51,10.200000000000001,0.11273668388555161,NaN,NaN,NaN,,NaN,NaN
exact_survival,5000,52,10.4,0.096419335974587073,NaN,NaN,NaN,,NaN,NaN
exact_survival,5000,53,10.600000000000001,0.082357816704007422,NaN,NaN,NaN,,NaN,NaN
exact_survival,5000,54,10.800000000000001,0.070269867528308674,NaN,NaN,NaN,,NaN,NaN
exact_survival,5000,55,11,0.059900409117847379,NaN,NaN,NaN,,NaN,NaN
exact_survival,5000,56,11.200000000000001,0.051020717214682557,NaN,NaN,NaN,,NaN,NaN
exact_survival,5000,57,11.4,0.043428228893176074,NaN,NaN,NaN,,NaN,NaN
exact_survival,5000,58,11.600000000000001,0.036944510104723778,NaN,NaN,NaN,,NaN,NaN
exact_survival,5000,59,11.800000000000001,0.031413618187913044,NaN,NaN,NaN,,NaN,NaN
exact_survival,5000,60,12,0.026699782955808733,NaN,NaN,NaN,,NaN,NaN
exact_survival,5000,61,12.200000000000001,0.022685408506707559,NaN,NaN,NaN,,NaN,NaN
exact_survival,5000,62,12.4,0.019268917248358674,NaN,NaN,NaN,,NaN,NaN
exact_survival,5000,63,12.600000000000001,0.016362872394236526,NaN,NaN,NaN,,NaN,NaN
exact_survival,5000,64,12.800000000000001,0.013892157244594926,NaN,NaN,NaN,,NaN,NaN
exact_survival,5000,65,13,0.011792391719262786,NaN,NaN,NaN,,NaN,NaN
enumeration_validation,8,4,0.80000000000000004,0.8046875,0.8046875,0,256,>,NaN,NaN
enumeration_validation,8,5,1,0.7421875,0.7421875,0,256,>,NaN,NaN
enumeration_validation,8,6,1.2000000000000002,0.4609375,0.4609375,0,256,>,NaN,NaN
enumeration_validation,8,7,1.4000000000000001,0.3828125,0.3828125,0,256,>,NaN,NaN
enumeration_validation,10,4,0.80000000000000004,0.888671875,0.888671875,0,1024,>,NaN,NaN
enumeration_validation,10,5,1,0.8359375,0.8359375,0,1024,>,NaN,NaN
enumeration_validation,10,6,1.2000000000000002,0.583984375,0.583984375,0,1024,>,NaN,NaN
enumeration_validation,10,7,1.4000000000000001,0.505859375,0.505859375,0,1024,>,NaN,NaN
enumeration_validation,12,4,0.80000000000000004,0.9365234375,0.9365234375,0,4096,>,NaN,NaN
enumeration_validation,12,5,1,0.89501953125,0.89501953125,0,4096,>,NaN,NaN
enumeration_validation,12,6,1.2000000000000002,0.6826171875,0.6826171875,0,4096,>,NaN,NaN
enumeration_validation,12,7,1.4000000000000001,0.599609375,0.599609375,0,4096,>,NaN,NaN
float_drift,5000,57,11.4,NaN,NaN,NaN,10000,oracle_phi0: float M > lambda*,0.0516,88
float_drift,5000,57,11.4,NaN,NaN,NaN,10000,oracle_phi0: exact M_units > lambda*,0.042799999999999998,0
float_drift,5000,57,11.4,NaN,NaN,NaN,10000,oracle_phi0: exact M_units >= lambda*,0.0516,88
float_drift,5000,57,11.4,NaN,NaN,NaN,20000,calibration: float M > lambda*,0.050900000000000001,137
float_drift,5000,57,11.4,NaN,NaN,NaN,20000,calibration: exact M_units > lambda*,0.044049999999999999,0
float_drift,5000,57,11.4,NaN,NaN,NaN,20000,calibration: exact M_units >= lambda*,0.050900000000000001,137
float_drift,5000,57,11.4,NaN,NaN,NaN,5000,validation: float M > lambda*,0.049599999999999998,42
float_drift,5000,57,11.4,NaN,NaN,NaN,5000,validation: exact M_units > lambda*,0.041200000000000001,0
float_drift,5000,57,11.4,NaN,NaN,NaN,5000,validation: exact M_units >= lambda*,0.049599999999999998,42
