record_type,b,n_trajectories,lb_reject_naive,fpr_naive,r07_lb_reject_rate,r07_fpr_concept,bit_identical_lb,bit_identical_fpr,lb_reject_biased,fpr_biased,delta_lb_pp,delta_fpr_pp,n_discordant_lb,n_discordant_fpr,rho_lb,deff_lb,rho_fpr,deff_fpr,statistic,observed,tabulated_pvalue,null_quantile,null_p,ci_low,ci_high,n_resample
per_b,0,10000,0.049200000000000001,0.0516,0.049200000000000001,0.0516,True,True,0.047800000000000002,0.051999999999999998,-0.0014,0.00040000000000000002,454,424,0.50816538169455461,1.5081653816945546,0.56838050201410117,1.5683805020141013,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
per_b,0.02,10000,0.070400000000000004,0.064399999999999999,0.070400000000000004,0.064399999999999999,True,True,0.064699999999999994,0.042900000000000001,-0.0057000000000000002,-0.021499999999999998,739,481,0.41387040129038205,1.413870401290382,0.53956342843233096,1.539563428432331,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
per_b,0.050000000000000003,10000,0.21510000000000001,0.085400000000000004,0.21510000000000001,0.085400000000000004,True,True,0.1943,0.0309,-0.020799999999999999,-0.0545,2630,655,0.1931804362512449,1.1931804362512448,0.47063686199661858,1.4706368619966186,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
per_b,0.074999999999999997,10000,0.50360000000000005,0.1094,0.50360000000000005,0.1094,True,True,0.48149999999999998,0.023800000000000002,-0.022100000000000002,-0.085599999999999996,4889,954,0.022482376809211453,1.0224823768092115,0.34251578538952066,1.3425157853895207,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
per_b,0.10000000000000001,10000,0.82020000000000004,0.13769999999999999,0.82020000000000004,0.13769999999999999,True,True,0.80030000000000001,0.017500000000000002,-0.019900000000000001,-0.1202,3211,1272,-0.043681472274411236,0.95631852772558879,0.25651415575575692,1.2565141557557569,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
per_b,0.14999999999999999,10000,0.99790000000000001,0.20999999999999999,0.99790000000000001,0.20999999999999999,True,True,0.99839999999999995,0.0094999999999999998,0.00050000000000000001,-0.20050000000000001,37,2045,-0.0018364277267713318,0.99816357227322872,0.13933014456216017,1.1393301445621602,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ks_calibration,NaN,10000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"KS of the six pval_lb against Uniform(0,1)",0.55838370809943061,0.027417888290213646,0.53596385761775611,0.037999999999999999,NaN,NaN,2000
sign_flip_null_max,NaN,10000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,max |delta_lb_pp| over the b grid,0.022100000000000002,NaN,0.0223,0.0011000000000000001,NaN,NaN,10000
sign_flip_null_max,NaN,10000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,max |delta_fpr_pp| over the b grid,0.20050000000000001,NaN,0.015100000000000001,0,NaN,NaN,10000
whiteness_bound,NaN,10000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"max |delta_lb_pp| in points, against L311s three-point bound",2.21,NaN,3,NaN,1.5599999999999998,3.6099999999999999,2000
