arm,alpha,ARL0_mean,ARL0_CI_low,ARL0_CI_high,ref_inv_alpha,censored_frac,right_censored_flag,arl0_bound_respected,arl0_implied_lower_bound,bound_flag_carried_information
CUSUM,0.10000000000000001,16249.9884,16165.034025387162,16334.942774612839,10,0.65095000000000003,True,True,13019,False
CUSUM,0.070000000000000007,17287.751700000001,17212.376922684951,17363.126477315051,14.285714285714285,0.74150000000000005,True,True,14830.000000000002,False
CUSUM,0.050000000000000003,17932.995650000001,17865.434745443024,18000.556554556977,20,0.80120000000000002,True,True,16024,False
CUSUM,0.035000000000000003,18475.483899999999,18416.250558226766,18534.717241773233,28.571428571428569,0.8518,True,True,17036,False
CUSUM,0.025000000000000001,18926.956200000001,18876.452260221824,18977.460139778177,40,0.89490000000000003,True,True,17898,False
CUSUM,0.014999999999999999,19352.175749999999,19312.522279986977,19391.82922001302,66.666666666666671,0.93545,True,True,18709,False
CUSUM,0.01,19552.559450000001,19519.338416254835,19585.780483745166,100,0.95535000000000003,True,True,19107,False
MIX,0.10000000000000001,18383.5622,18313.985314298468,18453.139085701532,10,0.9052,True,True,18104,False
MIX,0.070000000000000007,18850.768049999999,18791.331771389327,18910.204328610671,14.285714285714285,0.93235000000000001,True,True,18647,False
MIX,0.050000000000000003,19169.755499999999,19118.849582051065,19220.661417948933,20,0.95089999999999997,True,True,19018,False
MIX,0.035000000000000003,19429.592400000001,19387.196374839958,19471.988425160045,28.571428571428569,0.96604999999999996,True,True,19321,False
MIX,0.025000000000000001,19596.325499999999,19560.497471617982,19632.153528382016,40,0.97594999999999998,True,True,19519,False
MIX,0.014999999999999999,19748.811600000001,19720.459028494653,19777.164171505348,66.666666666666671,0.98499999999999999,True,True,19700,False
MIX,0.01,19841.70305,19819.124792626677,19864.281307373323,100,0.99055000000000004,True,True,19811,False
eCUSUM,0.10000000000000001,205.4299,203.00902339449758,207.85077660550243,10,0,False,True,0,True
eCUSUM,0.070000000000000007,318.96575000000001,315.09569901244623,322.8358009875538,14.285714285714285,0,False,True,0,True
eCUSUM,0.050000000000000003,479.60854999999998,473.65928514159356,485.5578148584064,20,0,False,True,0,True
eCUSUM,0.035000000000000003,713.5942,704.57817982239396,722.61022017760604,28.571428571428569,0,False,True,0,True
eCUSUM,0.025000000000000001,1033.2644,1020.0540134379833,1046.4747865620168,40,0,False,True,0,True
eCUSUM,0.014999999999999999,1792.88175,1769.3868469211193,1816.3766530788807,66.666666666666671,0,False,True,0,True
eCUSUM,0.01,2751.0599499999998,2714.5866996829327,2787.533200317067,100,0.00055000000000000003,False,True,11,True
