arm,alpha,target_level,achieved_level,achieved_CI_low,achieved_CI_high,gap_pp,level_is_attainable
CUSUM,0.10000000000000001,0.10000000000000001,0.10055,0.096458547689650814,0.10479486991557116,0.054999999999999494,False
CUSUM,0.070000000000000007,0.070000000000000007,0.070499999999999993,0.067034116819577494,0.074130842152616366,0.049999999999998657,False
CUSUM,0.050000000000000003,0.050000000000000003,0.053449999999999998,0.050417572723548507,0.056653934678158532,0.34499999999999947,False
CUSUM,0.035000000000000003,0.035000000000000003,0.039050000000000001,0.03645262860052563,0.041824409439597227,0.4049999999999998,False
CUSUM,0.025000000000000001,0.025000000000000001,0.0275,0.025322698790526222,0.029858775282492641,0.24999999999999989,False
CUSUM,0.014999999999999999,0.014999999999999999,0.016400000000000001,0.014730380087505717,0.018255357185958672,0.14000000000000018,False
CUSUM,0.01,0.01,0.01125,0.0098793063870207323,0.012808408857821536,0.12499999999999994,False
MIX,0.10000000000000001,0.10000000000000001,0.083199999999999996,0.079451922722338864,0.08710815853402995,-1.680000000000001,True
MIX,0.070000000000000007,0.070000000000000007,0.058700000000000002,0.055526217994886488,0.062043273028231462,-1.1300000000000003,True
MIX,0.050000000000000003,0.050000000000000003,0.042450000000000002,0.039742584076003895,0.045333148118937447,-0.75500000000000012,True
MIX,0.035000000000000003,0.035000000000000003,0.028549999999999999,0.02633092569335942,0.030950145103941621,-0.64500000000000046,True
MIX,0.025000000000000001,0.025000000000000001,0.020049999999999998,0.018197529220441377,0.022086806189813443,-0.49500000000000033,True
MIX,0.014999999999999999,0.014999999999999999,0.0126,0.011145074134923511,0.014242122612567278,-0.23999999999999994,True
MIX,0.01,0.01,0.0080000000000000002,0.006856368279388781,0.0093325951998181715,-0.20000000000000001,True
