experiment,pipeline,detector,Gamma,ADD_reset,ADD_warmstart,delta_ADD,se_delta_paired,n_paired,censor_horizon,alarm_time_censored_reset,alarm_time_censored_warmstart,delta_censored,se_delta_censored,n_censored,DetRate_reset,DetRate_warmstart,n_preonset_leak_reset,n_preonset_leak_warmstart
expB_H1,Concept,CUSUM,1,28.4818,25.415400000000002,-3.0663999999999998,0.054784290373193101,5000,5000,28.4818,25.415400000000002,-3.0663999999999998,0.054784290373193101,5000,1,1,0,159
expB_H1,Concept,CUSUM,6.4444444444444446,28.522400000000001,25.492799999999999,-3.0295999999999998,0.056031175844643011,5000,5000,28.522400000000001,25.492799999999999,-3.0295999999999998,0.056031175844643011,5000,1,1,0,159
expB_H1,Concept,CUSUM,11.888888888888889,28.517199999999999,25.519200000000001,-2.9980000000000002,0.056193867549315643,5000,5000,28.517199999999999,25.519200000000001,-2.9980000000000002,0.056193867549315643,5000,1,1,0,159
expB_H1,Concept,CUSUM,17.333333333333336,28.492799999999999,25.4938,-2.9990000000000001,0.056952335454331808,5000,5000,28.492799999999999,25.4938,-2.9990000000000001,0.056952335454331808,5000,1,1,0,159
expB_H1,Concept,CUSUM,22.777777777777779,28.464200000000002,25.481999999999999,-2.9822000000000002,0.0576006961766957,5000,5000,28.464200000000002,25.481999999999999,-2.9822000000000002,0.0576006961766957,5000,1,1,0,159
expB_H1,Concept,CUSUM,28.222222222222221,28.490600000000001,25.515000000000001,-2.9756,0.058621567922097835,5000,5000,28.490600000000001,25.515000000000001,-2.9756,0.058621567922097835,5000,1,1,0,159
expB_H1,Concept,CUSUM,33.666666666666671,28.498999999999999,25.521799999999999,-2.9771999999999998,0.05945925590370707,5000,5000,28.498999999999999,25.521799999999999,-2.9771999999999998,0.05945925590370707,5000,1,1,0,159
expB_H1,Concept,CUSUM,39.111111111111114,28.511399999999998,25.5396,-2.9718,0.05975378695121341,5000,5000,28.511399999999998,25.5396,-2.9718,0.05975378695121341,5000,1,1,0,159
expB_H1,Concept,CUSUM,44.555555555555557,28.485399999999998,25.527999999999999,-2.9573999999999998,0.059226164789889471,5000,5000,28.485399999999998,25.527999999999999,-2.9573999999999998,0.059226164789889471,5000,1,1,0,159
expB_H1,Concept,CUSUM,50,28.4556,25.5092,-2.9464000000000001,0.059948512682422461,5000,5000,28.4556,25.5092,-2.9464000000000001,0.059948512682422461,5000,1,1,0,159
expB_H1,Concept,CUSUM,60,28.457000000000001,25.485199999999999,-2.9718,0.064943702457573041,5000,5000,28.457000000000001,25.485199999999999,-2.9718,0.064943702457573041,5000,1,1,0,159
expB_H1,Concept,CUSUM,75.555555555555557,28.428000000000001,25.440000000000001,-2.988,0.070834558705065623,5000,5000,28.428000000000001,25.440000000000001,-2.988,0.070834558705065623,5000,1,1,0,159
expB_H1,Concept,CUSUM,91.111111111111114,28.422000000000001,25.4482,-2.9738000000000002,0.071461626519503191,5000,5000,28.422000000000001,25.4482,-2.9738000000000002,0.071461626519503191,5000,1,1,0,159
