arm,pipeline,detector,response,domain,slope,intercept,se_bootstrap,se_ols,se_ratio,ci_low,ci_high,p_value,n_points,n_short_replicates,r2
reset,Concept,CUSUM,ADD ~ log(Gamma),all grid points,-0.062892240900072546,28.649052660230229,0.050308542794328767,0.013510203272335174,3.7237443271742259,-0.15492051659843259,0.037399118997280552,0.21125190055717302,20,0,0.54626315776003453
reset,Concept,PHT,ADD ~ log(Gamma),all grid points,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
reset,Concept,ADWIN,ADD ~ log(Gamma),all grid points,-239.4231944508179,3040.8789911879535,85.765231448278527,20.036864635873709,4.2803718549221372,-492.71222696244826,-293.76339449780227,0.0052446307102218571,17,0,0.90493201309213522
reset,Concept,DDM,ADD ~ log(Gamma),all grid points,84.186871067128891,1489.0339656150145,25.074006986473666,3.9383602235454256,6.3666108642295098,-136.8269112903524,-37.512235331803701,0.00078640616189445663,13,0,0.97649264333210994
reset,Concept,EDDM,ADD ~ log(Gamma),all grid points,77.181396468162191,56.825936283370538,3.1157566872524329,5.833423882580659,0.53412142679301533,71.088816111868269,83.378650328921637,1.8272548348712099e-135,20,0,0.90676303679381853
warmstart,Concept,CUSUM,ADD ~ log(Gamma),all grid points,-0.038692324172129783,25.583102539941741,0.047088340659070693,0.013380132310672145,3.5192731705285527,-0.12791407141419334,0.057936641454916914,0.41124965816658154,20,0,0.31720830252974047
warmstart,Concept,PHT,ADD ~ log(Gamma),all grid points,-0.026968066969699105,27.155128657649907,0.051757615915172854,0.010391685564369318,4.9806757137299966,-0.12229538027948271,0.079326595972398592,0.60233515475087374,20,0,0.27228169055146439
warmstart,Concept,ADWIN,ADD ~ log(Gamma),all grid points,-1.5343476305069081,67.0980177522773,0.092595717467454611,0.043531064926752211,2.1271181310005005,-1.7149861778524,-1.3503978588215422,1.1407364221980541e-61,20,0,0.9857184144961727
warmstart,Concept,DDM,ADD ~ log(Gamma),all grid points,-2.3127682111621111,258.47268422636864,0.30861180804439459,0.20403008045995033,1.5125799458034959,-2.8233208833129639,-1.6450015093513566,6.675405703923143e-14,20,0,0.87712632848359395
warmstart,Concept,EDDM,ADD ~ log(Gamma),all grid points,-0.20248724879673582,134.60020654596795,0.25528616574299917,0.07868735278352916,3.2443100029721128,-0.66039113240451652,0.32999272029904547,0.42767440072281604,20,0,0.26894480146043892
as_submitted,Concept,CUSUM,ADD ~ log(Gamma),all grid points,-0.062892240900072546,28.649052660230229,0.050174113337381324,0.013510203272335174,3.7137941099763312,-0.1532501526364112,0.040550793783320167,0.21003112166102866,20,0,0.54626315776003453
as_submitted,Concept,PHT,ADD ~ log(Gamma),all grid points,-0.026968066969699105,27.155128657649907,0.052401191121973882,0.010391685564369318,5.0426074574124362,-0.12097752806411635,0.080313926811353936,0.60680036696634798,20,0,0.27228169055146439
as_submitted,Concept,ADWIN,ADD ~ log(Gamma),all grid points,-1.5343476305069081,67.0980177522773,0.093635362116768789,0.043531064926752211,2.1510009524077773,-1.7090389570869224,-1.3416800880737132,2.3915003200330886e-60,20,0,0.9857184144961727
as_submitted,Concept,DDM,ADD ~ log(Gamma),all grid points,-2.3127682111621111,258.47268422636864,0.30097509973456743,0.20403008045995033,1.4751506202226232,-2.8263213388080066,-1.6757494948329197,1.5389467972739181e-14,20,0,0.87712632848359395
