nu,n_seeds,n_detected_data,n_detected_concept,det_rate_data,det_rate_concept,det_rate_data_ci_low,det_rate_data_ci_high,det_rate_concept_ci_low,det_rate_concept_ci_high,censored,ADD_Data,SEM_Data,ADD_Data_Raw,SEM_Data_Raw,ADD_Concept,SEM_Concept,deff_within_cell
10,1000,825,1000,0.82499999999999996,1,0.80021835461478497,0.8472942523696041,0.99617324151444497,1,False,1774.270303030303,52.66643810009613,1774.270303030303,52.66643810009613,37.899999999999999,0.29446682446535594,1
9,1000,781,1000,0.78100000000000003,1,0.75431840710595555,0.80553095462516244,0.99617324151444497,1,False,1876.5313700384122,54.156212405122446,1876.5313700384122,54.156212405122446,37.780999999999999,0.29507305384786847,1
8,1000,719,1000,0.71899999999999997,1,0.69034365808979337,0.74598022169353351,0.99617324151444497,1,False,2027.5076495132128,59.598746168657776,2027.5076495132128,59.598746168657776,37.298999999999999,0.27506228068977079,1
7.5,1000,666,1000,0.66600000000000004,1,0.63618183505680004,0.69454768112599585,0.99617324151444497,1,False,2094.6831831831832,65.69888722971676,2094.6831831831832,65.69888722971676,37.008000000000003,0.26761456154991553,1
7,1000,621,1000,0.621,1,0.59052235820479593,0.65055156624169974,0.99617324151444497,1,False,2158.3462157809986,69.167301227510748,2158.3462157809986,69.167301227510748,36.709000000000003,0.26048065027784539,1
6.5,1000,562,1000,0.56200000000000006,1,0.53107013838604444,0.59245534356174689,0.99617324151444497,1,False,2199.450177935943,74.510384452371241,2199.450177935943,74.510384452371241,36.298000000000002,0.25647412145277931,1
6,1000,518,1000,0.51800000000000002,1,0.48702069136344844,0.54884154533107155,0.99617324151444497,1,False,2434.6100386100388,84.766373199463743,2434.6100386100388,84.766373199463743,36.055,0.25227290107464301,1
5.5,1000,471,1000,0.47099999999999997,1,0.44023244570116365,0.50198950629099859,0.99617324151444497,1,True,NaN,NaN,2610.2314225053078,93.56570714661575,35.688000000000002,0.25151523992775454,1
5,1000,421,1000,0.42099999999999999,1,0.39075893140651674,0.45184569643420092,0.99617324151444497,1,True,NaN,NaN,2760.289786223278,100.43274668079236,35.121000000000002,0.24339186222755804,1
4.75,1000,390,1000,0.39000000000000001,1,0.36024540636962882,0.42059648049719328,0.99617324151444497,1,True,NaN,NaN,2791.020512820513,103.91364821136314,34.793999999999997,0.2353017869267697,1
4.5,1000,363,1000,0.36299999999999999,1,0.33377296264492567,0.39327556918011636,0.99617324151444497,1,True,NaN,NaN,2938.8319559228648,109.73310157670052,34.317,0.22956308546935461,1
4.25,1000,341,1000,0.34100000000000003,1,0.31227731829126676,0.37093959090713985,0.99617324151444497,1,True,NaN,NaN,2998.7712609970677,112.64160092255152,34.005000000000003,0.22226645580783749,1
4.2000000000000002,1000,341,1000,0.34100000000000003,1,0.31227731829126676,0.37093959090713985,0.99617324151444497,1,True,NaN,NaN,2984.3167155425222,111.37656605821594,33.933999999999997,0.22146939448305872,1
4.0999999999999996,1000,347,1000,0.34699999999999998,1,0.31813295875366709,0.37703802934291275,0.99617324151444497,1,True,NaN,NaN,2980.0230547550432,113.80002146428747,33.735999999999997,0.22118595621609258,1
4.0499999999999998,1000,345,1000,0.34499999999999997,1,0.31618050448770851,0.37500579064281347,0.99617324151444497,1,True,NaN,NaN,2914.0666666666666,113.27282815605903,33.722000000000001,0.22028445528734258,1
4.0099999999999998,1000,345,1000,0.34499999999999997,1,0.31618050448770851,0.37500579064281347,0.99617324151444497,1,True,NaN,NaN,2947.4956521739132,113.45279356962492,33.637999999999998,0.2192875806858269,1
