episode_id,ticker,phase_id,role,sigma_oracle,n_star_realized,n_star_analytic,n_star_realized_below_analytic,T_days_phase,ADD_min_census
E1,SPY,22,TARGET,V1,2,1,False,23,42.075066132431338
E1,SPY,22,TARGET,V2,13,6,False,23,42.075066132431338
E1,SPY,22,TARGET,V3,7,5,False,23,42.075066132431338
E2,SPY,15,POSITIVE CONTROL A,V1,1,103,True,284,227.28012075441202
E2,SPY,15,POSITIVE CONTROL A,V2,1,96,True,284,227.28012075441202
E2,SPY,15,POSITIVE CONTROL A,V3,1,96,True,284,227.28012075441202
E3,SPY,21,POSITIVE CONTROL B,V1,1,120,True,289,223.04011300388913
E3,SPY,21,POSITIVE CONTROL B,V2,1,84,True,289,223.04011300388913
E3,SPY,21,POSITIVE CONTROL B,V3,1,85,True,289,223.04011300388913
E4,SPY,18,NEGATIVE CONTROL,V1,69,64,False,108,462.29376067767311
E4,SPY,18,NEGATIVE CONTROL,V2,NaN,57,NaN,108,462.29376067767311
E4,SPY,18,NEGATIVE CONTROL,V3,NaN,58,NaN,108,462.29376067767311
