detector,detector_family,delta,delta_opt_ctrl,condition,lambda_star_ctrl,FPR_H_ctrl,detection_rate,ci_low,ci_high,median_delay,n_replicates,power_requirement_met,symmetry_requirement_met,degenerate_requirement_met,detector_recovery_pass,requirement,requirement_low,requirement_high,gate_level,gate_z,gate_ci_low,gate_ci_high,symmetry_gap,symmetry_gap_se,median_delay_ratio,interval_resolves_failure
D1,standardized_mean,0,0.25,H1_bear_ctrl,147.17643780135268,0.041200000000000001,1,0.99237538146909643,0.99999999999999989,228,500,True,True,True,True,power,0.94999999999999996,1,0.001,3.0902323061678132,0.98125886682861885,1,0,0,0.96202531645569622,False
D1,standardized_mean,0,0.25,H1_bull_ctrl,147.17643780135268,0.041200000000000001,1,0.99237538146909643,0.99999999999999989,237,500,True,True,True,True,power,0.94999999999999996,1,0.001,3.0902323061678132,0.98125886682861885,1,0,0,0.96202531645569622,False
D1,standardized_mean,0,0.25,H1_null_drift_ctrl,147.17643780135268,0.041200000000000001,0.034000000000000002,0.02133433944461342,0.053771805026188516,1590,500,True,True,True,True,degenerate,0.02,0.10000000000000001,0.001,3.0902323061678132,0.01643117241729098,0.069035563698436442,0,0,0.96202531645569622,False
D1,standardized_mean,0,0.25,H0_ctrl,147.17643780135268,0.041200000000000001,0.041200000000000001,0.036033958132652331,0.047070511041591719,NaN,5000,True,True,True,True,none,NaN,NaN,0.001,3.0902323061678132,0.033352937058807944,0.050796252943495698,0,0,0.96202531645569622,False
D1,standardized_mean,0.25,0.25,H1_bear_ctrl,16.175510149607252,0.038399999999999997,1,0.99237538146909643,0.99999999999999989,53,500,True,True,True,True,power,0.94999999999999996,1,0.001,3.0902323061678132,0.98125886682861885,1,0,0,1.0392156862745099,False
D1,standardized_mean,0.25,0.25,H1_bull_ctrl,16.175510149607252,0.038399999999999997,1,0.99237538146909643,0.99999999999999989,51,500,True,True,True,True,power,0.94999999999999996,1,0.001,3.0902323061678132,0.98125886682861885,1,0,0,1.0392156862745099,False
D1,standardized_mean,0.25,0.25,H1_null_drift_ctrl,16.175510149607252,0.038399999999999997,0.032000000000000001,0.01979134135128301,0.051345301593642548,1261.5,500,True,True,True,True,degenerate,0.02,0.10000000000000001,0.001,3.0902323061678132,0.015130000952035871,0.066411699696377072,0,0,1.0392156862745099,False
D1,standardized_mean,0.25,0.25,H0_ctrl,16.175510149607252,0.038399999999999997,0.038399999999999997,0.033418246928647748,0.044090521534366746,NaN,5000,True,True,True,True,none,NaN,NaN,0.001,3.0902323061678132,0.030844056481000616,0.04771580861286024,0,0,1.0392156862745099,False
D2,likelihood_ratio,NaN,0.25,H1_bear_ctrl,8.2382739188291012,0.032599999999999997,1,0.99237538146909643,0.99999999999999989,54,500,True,True,True,True,power,0.94999999999999996,1,0.001,3.0902323061678132,0.98125886682861885,1,0,0,1.0188679245283019,False
D2,likelihood_ratio,NaN,0.25,H1_bull_ctrl,8.2382739188291012,0.032599999999999997,1,0.99237538146909643,0.99999999999999989,53,500,True,True,True,True,power,0.94999999999999996,1,0.001,3.0902323061678132,0.98125886682861885,1,0,0,1.0188679245283019,False
D2,likelihood_ratio,NaN,0.25,H1_null_drift_ctrl,8.2382739188291012,0.032599999999999997,0.028000000000000001,0.016750819308621219,0.046446820584551553,1337,500,True,True,True,True,degenerate,0.02,0.10000000000000001,0.001,3.0902323061678132,0.01259077165192685,0.061100858061857152,0,0,1.0188679245283019,False
D2,likelihood_ratio,NaN,0.25,H0_ctrl,8.2382739188291012,0.032599999999999997,0.032599999999999997,0.028025191999595418,0.037892482133015014,NaN,5000,True,True,True,True,none,NaN,NaN,0.001,3.0902323061678132,0.025686359459591978,0.04129561832392311,0,0,1.0188679245283019,False
D3,clairvoyant_score,NaN,0.25,H1_bear_ctrl,1.6449,0.050000000000000003,1,0.99237538146909643,0.99999999999999989,7,500,True,True,True,True,power,0.94999999999999996,1,0.001,3.0902323061678132,0.98125886682861885,1,0,0,1,False
D3,clairvoyant_score,NaN,0.25,H1_bull_ctrl,1.6449,0.050000000000000003,1,0.99237538146909643,0.99999999999999989,7,500,True,True,True,True,power,0.94999999999999996,1,0.001,3.0902323061678132,0.98125886682861885,1,0,0,1,False
D3,clairvoyant_score,NaN,0.25,H1_null_drift_ctrl,1.6449,0.050000000000000003,0.053999999999999999,0.037374098485133747,0.077427061244432049,NaN,500,True,True,True,True,degenerate,0.02,0.10000000000000001,0.001,3.0902323061678132,0.030308002059919993,0.094409088728952179,0,0,1,False
D3,clairvoyant_score,NaN,0.25,H0_ctrl,1.6449,0.050000000000000003,0.050000000000000003,0.044296797964307966,0.056394159159514679,NaN,5000,True,True,True,True,none,NaN,NaN,0.001,3.0902323061678132,0.041303579620139905,0.060412060094412495,0,0,1,False
