cell_index,replicate_index,alpha_target,beta_target,sigma_target,omega_target,n_obs,nu,alpha_hat,beta_hat,omega_hat,converged,alpha_margin,beta_margin,alpha_within_tol,beta_within_tol,cell_pass
0,0,0.050000000000000003,0.90000000000000002,0.10000000000000001,0.00049999999999999947,5000,7,0.035910999999999998,0.91371199999999997,0.00049406473642601956,True,-0.014089000000000004,0.013711999999999946,True,True,True
1,1,0.050000000000000003,0.90000000000000002,0.10000000000000001,0.00049999999999999947,5000,7,0.069463999999999998,0.88541700000000001,0.00051508342917720728,True,0.019463999999999995,-0.014583000000000013,True,True,True
2,2,0.050000000000000003,0.90000000000000002,0.10000000000000001,0.00049999999999999947,5000,7,0.058456000000000001,0.87688500000000003,0.00062261465252667415,True,0.0084559999999999982,-0.023114999999999997,True,True,True
3,3,0.050000000000000003,0.90000000000000002,0.10000000000000001,0.00049999999999999947,5000,7,0.049565999999999999,0.89544999999999997,0.00056643005717926635,True,-0.00043400000000000383,-0.004550000000000054,True,True,True
4,4,0.050000000000000003,0.90000000000000002,0.10000000000000001,0.00049999999999999947,5000,7,0.040395,0.91856199999999999,0.00038258754013719066,True,-0.0096050000000000024,0.018561999999999967,True,True,True
5,5,0.050000000000000003,0.90000000000000002,0.10000000000000001,0.00049999999999999947,5000,7,0.038460000000000001,0.91946099999999997,0.00040946362065766024,True,-0.011540000000000002,0.019460999999999951,True,True,True
6,6,0.050000000000000003,0.90000000000000002,0.10000000000000001,0.00049999999999999947,5000,7,0.055638,0.87763599999999997,0.00059507224964627391,True,0.0056379999999999972,-0.022364000000000051,True,True,True
7,7,0.050000000000000003,0.90000000000000002,0.10000000000000001,0.00049999999999999947,5000,7,0.056140000000000002,0.89655300000000004,0.00044186842161860802,True,0.0061399999999999996,-0.0034469999999999779,True,True,True
8,8,0.050000000000000003,0.90000000000000002,0.10000000000000001,0.00049999999999999947,5000,7,0.058061000000000001,0.87849299999999997,0.00059662487594246919,True,0.0080609999999999987,-0.021507000000000054,True,True,True
9,9,0.050000000000000003,0.90000000000000002,0.10000000000000001,0.00049999999999999947,5000,7,0.051166000000000003,0.90162799999999999,0.000496884173017895,True,0.0011660000000000004,0.0016279999999999628,True,True,True
10,10,0.050000000000000003,0.90000000000000002,0.10000000000000001,0.00049999999999999947,5000,7,0.053563,0.87731499999999996,0.00066069562572707312,True,0.0035629999999999967,-0.022685000000000066,True,True,True
11,0,0.050000000000000003,0.90000000000000002,0.0092999999999999992,4.3244999999999931e-06,5000,7,0.035910999999999998,0.91371199999999997,4.2731659053486399e-06,True,-0.014089000000000004,0.013711999999999946,True,True,True
12,1,0.050000000000000003,0.90000000000000002,0.0092999999999999992,4.3244999999999931e-06,5000,7,0.069463999999999998,0.88541700000000001,4.4549565789536629e-06,True,0.019463999999999995,-0.014583000000000013,True,True,True
13,2,0.050000000000000003,0.90000000000000002,0.0092999999999999992,4.3244999999999931e-06,5000,7,0.058456000000000001,0.87688500000000003,5.3849941297032003e-06,True,0.0084559999999999982,-0.023114999999999997,True,True,True
14,3,0.050000000000000003,0.90000000000000002,0.0092999999999999992,4.3244999999999931e-06,5000,7,0.049565999999999999,0.89544999999999997,4.8990535645434715e-06,True,-0.00043400000000000383,-0.004550000000000054,True,True,True
15,4,0.050000000000000003,0.90000000000000002,0.0092999999999999992,4.3244999999999931e-06,5000,7,0.040395,0.91856199999999999,3.3089996346465607e-06,True,-0.0096050000000000024,0.018561999999999967,True,True,True
16,5,0.050000000000000003,0.90000000000000002,0.0092999999999999992,4.3244999999999931e-06,5000,7,0.038460000000000001,0.91946099999999997,3.541450855068101e-06,True,-0.011540000000000002,0.019460999999999951,True,True,True
17,6,0.050000000000000003,0.90000000000000002,0.0092999999999999992,4.3244999999999931e-06,5000,7,0.055638,0.87763599999999997,5.1467798871906214e-06,True,0.0056379999999999972,-0.022364000000000051,True,True,True
18,7,0.050000000000000003,0.90000000000000002,0.0092999999999999992,4.3244999999999931e-06,5000,7,0.056140000000000002,0.89655300000000004,3.8217199785793388e-06,True,0.0061399999999999996,-0.0034469999999999779,True,True,True
19,8,0.050000000000000003,0.90000000000000002,0.0092999999999999992,4.3244999999999931e-06,5000,7,0.058061000000000001,0.87849299999999997,5.1602085520264129e-06,True,0.0080609999999999987,-0.021507000000000054,True,True,True
20,9,0.050000000000000003,0.90000000000000002,0.0092999999999999992,4.3244999999999931e-06,5000,7,0.051166000000000003,0.90162799999999999,4.2975512124317723e-06,True,0.0011660000000000004,0.0016279999999999628,True,True,True
21,10,0.050000000000000003,0.90000000000000002,0.0092999999999999992,4.3244999999999931e-06,5000,7,0.053563,0.87731499999999996,5.7143564669134515e-06,True,0.0035629999999999967,-0.022685000000000066,True,True,True
22,0,0.080000000000000002,0.90000000000000002,0.10000000000000001,0.00020000000000000023,5000,7,0.065503000000000006,0.90962299999999996,0.00022532019989937561,True,-0.014496999999999996,0.0096229999999999372,True,True,True
23,1,0.080000000000000002,0.90000000000000002,0.10000000000000001,0.00020000000000000023,5000,7,0.102366,0.88678199999999996,0.00019079691762019957,True,0.022365999999999997,-0.013218000000000063,True,True,True
24,2,0.080000000000000002,0.90000000000000002,0.10000000000000001,0.00020000000000000023,5000,7,0.087345999999999993,0.88270899999999997,0.00025637845231168147,True,0.0073459999999999914,-0.017291000000000056,True,True,True
25,3,0.080000000000000002,0.90000000000000002,0.10000000000000001,0.00020000000000000023,5000,7,0.080189999999999997,0.89593800000000001,0.00024343831834576816,True,0.00018999999999999573,-0.00406200000000001,True,True,True
26,4,0.080000000000000002,0.90000000000000002,0.10000000000000001,0.00020000000000000023,5000,7,0.067530999999999994,0.91511699999999996,0.00014825408940456365,True,-0.012469000000000008,0.015116999999999936,True,True,True
27,5,0.080000000000000002,0.90000000000000002,0.10000000000000001,0.00020000000000000023,5000,7,0.066490999999999995,0.91517000000000004,0.00016666397144432269,True,-0.013509000000000007,0.015170000000000017,True,True,True
