source,ticker,c,arm,onset_position,onset_index,delay,detected
Real_BTC,BTC,0.10000000000000001,Concept,0,516,216,True
Real_BTC,BTC,0.10000000000000001,Concept,1,546,218,True
Real_BTC,BTC,0.10000000000000001,Concept,2,577,180,True
Real_BTC,BTC,0.10000000000000001,Concept,3,608,124,True
Real_BTC,BTC,0.10000000000000001,Concept,4,638,124,True
Real_BTC,BTC,0.10000000000000001,Concept,5,669,115,True
Real_BTC,BTC,0.10000000000000001,Concept,6,699,90,True
Real_BTC,BTC,0.10000000000000001,Concept,7,730,130,True
Real_BTC,BTC,0.10000000000000001,Concept,8,761,130,True
Real_BTC,BTC,0.10000000000000001,Concept,9,789,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,10,820,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,11,850,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,12,881,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,13,911,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,14,942,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,15,973,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,16,1003,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,17,1034,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,18,1064,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,19,1095,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,20,1126,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,21,1154,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,22,1185,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,23,1215,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,24,1246,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,25,1276,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,26,1307,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,27,1338,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,28,1368,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,29,1399,191,True
Real_BTC,BTC,0.10000000000000001,Concept,30,1429,154,True
Real_BTC,BTC,0.10000000000000001,Concept,31,1460,120,True
Real_BTC,BTC,0.10000000000000001,Concept,32,1491,92,True
Real_BTC,BTC,0.10000000000000001,Concept,33,1519,74,True
Real_BTC,BTC,0.10000000000000001,Concept,34,1550,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,35,1580,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,36,1611,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,37,1641,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,38,1672,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,39,1703,490,True
Real_BTC,BTC,0.10000000000000001,Concept,40,1733,460,True
Real_BTC,BTC,0.10000000000000001,Concept,41,1764,414,True
Real_BTC,BTC,0.10000000000000001,Concept,42,1794,359,True
Real_BTC,BTC,0.10000000000000001,Concept,43,1825,328,True
Real_BTC,BTC,0.10000000000000001,Concept,44,1856,292,True
Real_BTC,BTC,0.10000000000000001,Concept,45,1885,243,True
Real_BTC,BTC,0.10000000000000001,Concept,46,1916,203,True
Real_BTC,BTC,0.10000000000000001,Concept,47,1946,175,True
Real_BTC,BTC,0.10000000000000001,Concept,48,1977,151,True
Real_BTC,BTC,0.10000000000000001,Concept,49,2007,121,True
Real_BTC,BTC,0.10000000000000001,Concept,50,2038,111,True
Real_BTC,BTC,0.10000000000000001,Concept,51,2069,90,True
Real_BTC,BTC,0.10000000000000001,Concept,52,2099,77,True
Real_BTC,BTC,0.10000000000000001,Concept,53,2130,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,54,2160,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,55,2191,-1,False
Real_BTC,BTC,0.10000000000000001,Concept,56,2222,-1,False
