K,c,k_index,c_index,DetRate,CI_low,CI_high,ADD,SEM,ADD_single,budget_reduction,add_reliable,n_detected,deff,deff_clamped,deff_lags,n_eff,SEM_design,distinct_starts,ADD_single_DetRate,ADD_single_reliable,ADD_single_SEM,ADD_single_SEM_design,ADD_single_n_detected
1,0.10000000000000001,0,0,0.64049999999999996,0.61921895872065202,0.66124235099331585,467.55581576893053,4.0206618259097944,469.04170073589535,NaN,0,1281,7.4806937648571692,False,820,171.24080202532639,10.996854648788251,1002,0.61150000000000004,0,4.2263754424929463,14.894574724474785,1223
5,0.10000000000000001,1,0,0.73799999999999999,0.71828547790323949,0.75680200759088412,520.31029810298105,3.7706725607096376,469.04170073589535,NaN,0,1476,43.918354980179835,False,945,33.607816154910914,24.988595840384296,1168,0.61150000000000004,0,4.2263754424929463,14.894574724474785,1223
10,0.10000000000000001,2,0,0.98950000000000005,0.98400109809252689,0.99312211261912653,422.133400707428,3.234896991840567,469.04170073589535,1.1111219817002316,1,1979,39.287408068172724,False,1267,50.37237367672558,20.276227013955427,1502,0.61150000000000004,0,4.2263754424929463,14.894574724474785,1223
20,0.10000000000000001,3,0,1,0.99808295271874692,0.99999999999999978,359.06549999999999,3.1326084534675522,469.04170073589535,1.3062845100292158,1,2000,17.588803969744788,False,1280,113.70869806953792,13.137849117572738,1576,0.61150000000000004,0,4.2263754424929463,14.894574724474785,1223
30,0.10000000000000001,4,0,1,0.99808295271874692,0.99999999999999978,390.08249999999998,3.0499710668511781,469.04170073589535,1.202416670155404,1,2000,24.525888236641897,False,1280,81.546485929589366,15.104560460792264,1552,0.61150000000000004,0,4.2263754424929463,14.894574724474785,1223
40,0.10000000000000001,5,0,0.95299999999999996,0.94282455752835337,0.96143859763483142,412.75236096537253,3.3094879504402379,469.04170073589535,1.1363755730890783,1,1906,27.551327297080022,False,1220,69.179970149823021,17.371289866137278,1478,0.61150000000000004,0,4.2263754424929463,14.894574724474785,1223
50,0.10000000000000001,6,0,1,0.99808295271874692,0.99999999999999978,331.56549999999999,2.9047761044499611,469.04170073589535,1.4146275795759673,1,2000,31.673315309483396,False,1280,63.144637069336859,16.347804122235562,1541,0.61150000000000004,0,4.2263754424929463,14.894574724474785,1223
60,0.10000000000000001,7,0,0.99750000000000005,0.9941608466835673,0.9989316912715861,355.60601503759398,3.1901577294107581,469.04170073589535,1.3189925954607635,1,1995,26.651184480015932,False,1277,74.85596002293731,16.469120756756105,1567,0.61150000000000004,0,4.2263754424929463,14.894574724474785,1223
75,0.10000000000000001,8,0,1,0.99808295271874692,0.99999999999999978,341.16449999999998,2.974732969191352,469.04170073589535,1.3748256361253746,1,2000,17.728038226427572,False,1280,112.81564121508698,12.525017073609138,1535,0.61150000000000004,0,4.2263754424929463,14.894574724474785,1223
97,0.10000000000000001,9,0,1,0.99808295271874692,0.99999999999999978,349.51400000000001,3.0243646924431,469.04170073589535,1.3419825836329742,1,2000,26.772139510577752,False,1280,74.704526293454961,15.648607549307259,1557,0.61150000000000004,0,4.2263754424929463,14.894574724474785,1223
1,0.25,0,1,1,0.99808295271874692,0.99999999999999978,336.03300000000002,3.3429731812183556,332.72386193096548,0.99015234197523894,1,2000,1,True,1280,2000,3.3429731812183556,1551,0.99950000000000006,1,3.2726279468368018,3.2726279468368018,1999
5,0.25,1,1,1,0.99808295271874692,0.99999999999999978,278.11200000000002,2.4054197658880794,332.72386193096548,1.1963664348570557,1,2000,49.05773664400305,False,1280,40.768289301917591,16.847855502501897,1543,0.99950000000000006,1,3.2726279468368018,3.2726279468368018,1999
10,0.25,2,1,1,0.99808295271874692,0.99999999999999978,192.46700000000001,1.6424555658046953,332.72386193096548,1.7287320004518461,1,2000,13.078669666016737,False,1280,152.92075196277386,5.9398491350416318,1576,0.99950000000000006,1,3.2726279468368018,3.2726279468368018,1999
20,0.25,3,1,1,0.99808295271874692,0.99999999999999978,161.66300000000001,1.5761450860140009,332.72386193096548,2.0581324231949516,1,2000,32.240411099167289,False,1280,62.033948445888655,8.9494527148473555,1565,0.99950000000000006,1,3.2726279468368018,3.2726279468368018,1999
30,0.25,4,1,1,0.99808295271874692,0.99999999999999978,174.4545,1.5797058904191981,332.72386193096548,1.907224301642924,1,2000,33.516378768347423,False,1280,59.672317639779827,9.1454437395928476,1548,0.99950000000000006,1,3.2726279468368018,3.2726279468368018,1999
40,0.25,5,1,1,0.99808295271874692,0.99999999999999978,188.51650000000001,1.7826025074942708,332.72386193096548,1.7649588334759316,1,2000,34.473446379423457,False,1280,58.01566742087504,10.466388820977196,1559,0.99950000000000006,1,3.2726279468368018,3.2726279468368018,1999
50,0.25,6,1,1,0.99808295271874692,0.99999999999999978,151.0565,1.4788927330042791,332.72386193096548,2.2026451157743328,1,2000,41.728322806950601,False,1280,47.929077074405306,9.5532719226890173,1550,0.99950000000000006,1,3.2726279468368018,3.2726279468368018,1999
60,0.25,7,1,1,0.99808295271874692,0.99999999999999978,160.22200000000001,1.5770062880078215,332.72386193096548,2.0766427951902076,1,2000,30.231651326327629,False,1280,66.155830470903652,8.6709036419524583,1550,0.99950000000000006,1,3.2726279468368018,3.2726279468368018,1999
75,0.25,8,1,1,0.99808295271874692,0.99999999999999978,157.91149999999999,1.6194967486025922,332.72386193096548,2.1070274294840181,1,2000,45.751938199876442,False,1280,43.713995050058912,10.954305002328633,1566,0.99950000000000006,1,3.2726279468368018,3.2726279468368018,1999
97,0.25,9,1,1,0.99808295271874692,0.99999999999999978,158.9915,1.6027615656089014,332.72386193096548,2.0927147799156902,1,2000,37.4506972860544,False,1280,53.403545058819091,9.8084159192487448,1588,0.99950000000000006,1,3.2726279468368018,3.2726279468368018,1999
1,0.5,0,2,1,0.99808295271874692,0.99999999999999978,185.03550000000001,1.7199948578500213,184.7835,0.99863809917556356,1,2000,1,True,1280,2000,1.7199948578500213,1566,1,1,1.6706477324073734,1.6706477324073734,2000
