K,k_index,position,asset_index,ticker
1,0,0,67,SLB
5,1,0,24,COST
5,1,1,71,SHW
5,1,2,56,SO
5,1,3,46,MDLZ
5,1,4,75,PSA
10,2,0,3,GOOGL
10,2,1,38,MMM
10,2,2,88,KLAC
10,2,3,82,GIS
10,2,4,67,SLB
10,2,5,36,GE
10,2,6,2,AMZN
10,2,7,31,QCOM
10,2,8,23,TMO
10,2,9,42,LOW
20,3,0,74,WM
20,3,1,38,MMM
20,3,2,92,UPS
20,3,3,1,MSFT
20,3,4,64,EMR
20,3,5,12,CVX
20,3,6,53,CB
20,3,7,37,CAT
20,3,8,68,EOG
20,3,9,20,ABT
20,3,10,44,BLK
20,3,11,48,AMD
20,3,12,32,HON
20,3,13,10,ADBE
20,3,14,69,COP
20,3,15,94,NVDA
20,3,16,39,GS
20,3,17,47,ISRG
20,3,18,63,CSX
20,3,19,42,LOW
30,4,0,3,GOOGL
30,4,1,24,COST
30,4,2,63,CSX
30,4,3,29,NEE
30,4,4,78,EXC
30,4,5,31,QCOM
30,4,6,72,ECL
30,4,7,83,HSY
30,4,8,30,ORCL
30,4,9,12,CVX
30,4,10,27,DHR
30,4,11,37,CAT
30,4,12,35,IBM
30,4,13,81,KMB
30,4,14,49,ADP
30,4,15,92,UPS
30,4,16,38,MMM
30,4,17,26,NKE
30,4,18,96,LLY
30,4,19,33,UNH
30,4,20,77,D
30,4,21,66,AON
30,4,22,54,MO
30,4,23,51,MS
30,4,24,60,PNC
30,4,25,36,GE
30,4,26,95,CRM
30,4,27,87,LRCX
30,4,28,2,AMZN
30,4,29,80,DD
40,5,0,27,DHR
40,5,1,56,SO
40,5,2,91,INTU
40,5,3,63,CSX
40,5,4,43,AXP
40,5,5,60,PNC
40,5,6,0,AAPL
40,5,7,66,AON
40,5,8,83,HSY
40,5,9,1,MSFT
40,5,10,40,BA
40,5,11,93,RTX
40,5,12,68,EOG
40,5,13,76,AEP
40,5,14,47,ISRG
40,5,15,92,UPS
40,5,16,70,APD
40,5,17,61,TGT
40,5,18,39,GS
40,5,19,41,SBUX
40,5,20,3,GOOGL
40,5,21,90,ROP
40,5,22,52,SPGI
40,5,23,96,LLY
40,5,24,30,ORCL
40,5,25,6,PG
40,5,26,73,NSC
40,5,27,19,PFE
40,5,28,29,NEE
40,5,29,45,GILD
40,5,30,2,AMZN
40,5,31,85,ADI
40,5,32,81,KMB
40,5,33,49,ADP
40,5,34,79,F
40,5,35,12,CVX
40,5,36,89,AMAT
40,5,37,80,DD
40,5,38,84,SYY
40,5,39,28,TXN
50,6,0,46,MDLZ
50,6,1,55,DUK
50,6,2,5,JNJ
50,6,3,37,CAT
50,6,4,10,ADBE
50,6,5,12,CVX
50,6,6,45,GILD
50,6,7,56,SO
50,6,8,88,KLAC
50,6,9,94,NVDA
50,6,10,16,CSCO
50,6,11,47,ISRG
50,6,12,67,SLB
50,6,13,75,PSA
50,6,14,27,DHR
50,6,15,8,BAC
50,6,16,19,PFE
50,6,17,68,EOG
50,6,18,73,NSC
50,6,19,63,CSX
50,6,20,52,SPGI
50,6,21,69,COP
50,6,22,81,KMB
50,6,23,35,IBM
50,6,24,13,KO
50,6,25,51,MS
50,6,26,22,WFC
50,6,27,84,SYY
50,6,28,21,MRK
50,6,29,89,AMAT
50,6,30,0,AAPL
50,6,31,32,HON
50,6,32,23,TMO
50,6,33,34,AMGN
50,6,34,43,AXP
50,6,35,38,MMM
50,6,36,24,COST
50,6,37,82,GIS
50,6,38,85,ADI
50,6,39,80,DD
50,6,40,2,AMZN
50,6,41,1,MSFT
50,6,42,74,WM
50,6,43,54,MO
50,6,44,72,ECL
50,6,45,77,D
50,6,46,18,CMCSA
50,6,47,71,SHW
50,6,48,29,NEE
50,6,49,17,INTC
60,7,0,96,LLY
60,7,1,53,CB
60,7,2,32,HON
60,7,3,90,ROP
60,7,4,29,NEE
60,7,5,3,GOOGL
60,7,6,34,AMGN
60,7,7,82,GIS
60,7,8,38,MMM
60,7,9,69,COP
60,7,10,44,BLK
60,7,11,70,APD
60,7,12,57,BDX
60,7,13,6,PG
60,7,14,30,ORCL
60,7,15,79,F
60,7,16,2,AMZN
60,7,17,15,WMT
60,7,18,74,WM
60,7,19,37,CAT
60,7,20,76,AEP
60,7,21,65,ITW
60,7,22,33,UNH
60,7,23,77,D
60,7,24,89,AMAT
60,7,25,71,SHW
60,7,26,92,UPS
60,7,27,67,SLB
60,7,28,51,MS
60,7,29,66,AON
60,7,30,75,PSA
60,7,31,63,CSX
60,7,32,24,COST
60,7,33,9,DIS
60,7,34,87,LRCX
60,7,35,78,EXC
60,7,36,85,ADI
60,7,37,52,SPGI
60,7,38,31,QCOM
60,7,39,7,HD
60,7,40,45,GILD
60,7,41,47,ISRG
60,7,42,21,MRK
60,7,43,49,ADP
60,7,44,5,JNJ
60,7,45,23,TMO
60,7,46,18,CMCSA
60,7,47,81,KMB
60,7,48,40,BA
60,7,49,28,TXN
60,7,50,72,ECL
60,7,51,91,INTU
60,7,52,39,GS
60,7,53,19,PFE
60,7,54,94,NVDA
60,7,55,4,JPM
60,7,56,43,AXP
60,7,57,83,HSY
60,7,58,14,PEP
60,7,59,50,C
75,8,0,38,MMM
75,8,1,11,XOM
