K,k_index,rho_sign_meas,K_eff_meas,K_eff_ana,ljungbox_p_Pt,nonanticipativity_diff,max_abs_Pt,K_eff_relative_gap,K_eff_gap_envelope,lambda_naive,lambda_boot,FPR_naive,FPR_boot,FPR_boot_CI_low,FPR_boot_CI_high,FPR_boot_boot_low,FPR_boot_boot_high,q_hat_mean,q_hat_sd,q_hat_min,q_hat_max,deff_eval,deff_eval_clamped,deff_eval_lags,deff_calib,deff_calib_clamped,deff_calib_lags,n_eff_eval,n_eff_calib,SE_FPR_boot_design,SE_FPR_boot_sqrt2_rule,SE_FPR_boot_binomial,distinct_windows_used,distinct_windows_available
1,0,0,1,1,0.98412042427644497,0,0.5,0,0,33.5,38,0.104,0.047500000000000001,0.039014020596178367,0.057720907193355528,0.030499999999999999,0.067000000000000004,0.50059133333333339,0.023105476281257621,0.44800000000000001,0.56266666666666665,7.4509918276003946,False,1280,51.194034482611571,False,12799,268.4206406711499,390.67051858929278,0.0170335327412196,0.0067263474486529461,0.0047562458935593308,1557,3905
5,1,0.25774155995343417,2.4618823799151661,2.461882379915167,0.19465162858495352,0,0.5,3.6077207706841406e-16,0.027433743889025284,15.000000000000012,34.200000000000003,0.54749999999999999,0.052999999999999999,0.044010457205797063,0.063703383063643038,0,0.106,0.50315466666666664,0.02041580348282325,0.4632,0.56399999999999995,49.925648430196567,False,1280,473.10949434474759,False,12799,40.059569838062203,42.27351223990933,0.048749811889368083,0.0070845606779813813,0.0050095408971281988,1568,3905
10,2,0.25904514047705035,3.0062997977767569,3.001735365386565,0.14685985770374194,0,0.5,0.0015205978657629189,0.037630735284931716,10.599999999999993,24.599999999999966,0.59399999999999997,0.051499999999999997,0.042644720050338814,0.062074871360945055,0,0.10299999999999999,0.50424733333333338,0.013144765615948266,0.47773333333333334,0.54479999999999995,51.183514800374752,False,1280,504.70770691236953,False,12799,39.075081260057516,39.626896372066938,0.049485155061511937,0.0069891165393059515,0.0049420516994462937,1553,3905
20,3,0.28810195766064262,3.0917844649452189,3.0893101671947951,0.0042704918951882321,0,0.5,0.00080092241196696957,0.040880190591867906,7.4999999999999964,19.900000000000006,0.90149999999999997,0.050000000000000003,0.04128123361873174,0.060444108934395897,0.048500000000000001,0.098000000000000004,0.5023525333333333,0.012287444622093068,0.47760000000000002,0.53526666666666667,12.699585263157873,False,1280,121.41572227790824,False,12799,157.48545787570711,164.72331280311485,0.024289452245985943,0.0068920243760451118,0.004873397172404482,1550,3905
30,4,0.2565631287605355,3.5567940272043681,3.5543630866210356,0.00026398295614887536,0,0.5,0.00068393141727213517,0.047859298212077205,6.1333333333333373,21.966666666666633,0.96950000000000003,0.049500000000000002,0.040827254610808245,0.059900004989600644,0.0044999999999999997,0.094500000000000001,0.50336873333333332,0.012200128718831497,0.47773333333333334,0.54102222222222218,35.388923182588044,False,1280,402.25177035957125,False,12799,56.514858891892878,49.720104356836217,0.042283187543738561,0.0068592820323996008,0.0048502448391808013,1558,3905
40,5,0.25894598001720648,3.6075628422905197,3.6039629542072076,0.00010864866230030457,0,0.5,0.00099886933607618803,0.048945495193496946,5.2999999999999998,23.54999999999999,0.99550000000000005,0.058500000000000003,0.049036041566208714,0.069656711183137612,0.014,0.10299999999999999,0.50304701666666662,0.014699978692647216,0.47249999999999998,0.54443333333333332,28.072200705184695,False,1280,317.74900159546303,False,12799,71.244859674668007,62.94276268242276,0.039086195836691727,0.0074214385397980628,0.0052477495176503994,1546,3905
50,6,0.2535884359346775,3.725011576922399,3.724163607302784,0.00037368023370425738,0,0.5,0.00022769397615944839,0.050837316807023795,4.8000000000000025,18.360000000000014,0.98299999999999998,0.043999999999999997,0.035851820416416519,0.053896526704086137,0.002,0.085999999999999993,0.50211238666666669,0.011494366038108415,0.47911999999999999,0.53954666666666662,39.125180330923953,False,1280,420.11899258961807,False,12799,51.117975254908416,47.605560216927543,0.042669232476344535,0.0064856765260071364,0.0045860658521220555,1551,3905
60,7,0.26016530362274032,3.6726160731616049,3.6697802294963773,0.00026180926694526727,0,0.5,0.00077275572047451389,0.050265338410484146,4.3499999999999934,19.835000000000001,1,0.048500000000000001,0.039920093442877079,0.058811000252094313,0.0025000000000000001,0.0935,0.50315648888888898,0.012799098847115827,0.47544444444444445,0.54324444444444442,38.685904905223147,False,1280,385.74197227366636,False,12799,51.698415867479724,51.848130194685972,0.042529647520229502,0.0067932135252765325,0.0048035273497712078,1574,3905
75,8,0.25464259856555721,3.7827310980487914,3.7795652154095247,0.00019856763891933597,0,0.5,0.00083763143611311321,0.051944562477357958,3.9000000000000008,19.1733333333333,1,0.0395,0.031808907871607048,0.048956692674426899,0.002,0.076999999999999999,0.50273070222222227,0.011934058985952015,0.47749333333333333,0.54296888888888883,34.526048146336777,False,1280,423.26978514735316,False,12799,57.927278312395003,47.25118754469419,0.040745804168097526,0.0061595251440350503,0.0043554419982362296,1556,3905
97,9,0.26023043840799664,3.7370099487341837,3.7333363177408581,0.00019778244587029782,0,0.5,0.00098400751517308785,0.0514664729694191,3.4329896907216506,19.474226804123724,1,0.058000000000000003,0.04857807145401382,0.069116598342613772,0.00050000000000000001,0.11550000000000001,0.50270158762886596,0.012350667456816664,0.47642611683848796,0.54276288659793814,53.118511467896404,False,1280,463.71946412500432,False,12799,37.65165748683966,43.129524523492123,0.050521532276613296,0.007391616873188166,0.0052266624149642565,1556,3905
