c,Gamma,ADD_Recalib,ADD_Eco_L2,ADD_Eco_L1,ADD_ML,DetRate_Recalib,DetRate_Eco_L2,DetRate_Eco_L1,DetRate_ML
0.5,1,2085.4000000000001,2085.4000000000001,120.69,76.650000000000006,0.050000000000000003,0.050000000000000003,1,1
1,1,1157.7901234567901,1177.1358024691358,19.57,36.840000000000003,0.81000000000000005,0.81000000000000005,1,1
2,1,40.960000000000001,40.979999999999997,6.4199999999999999,26.280000000000001,1,1,1,1
5,1,4.71,4.7400000000000002,1.8400000000000001,24.100000000000001,1,1,1,1
10,1,0.91000000000000003,0.90000000000000002,0.69999999999999996,24,1,1,1,1
0.5,4.9999999999999911,4499,2085.4000000000001,92.090000000000003,75.640000000000001,0.02,0.050000000000000003,1,1
1,4.9999999999999911,2425.5581395348836,742.75555555555559,19.16,36.240000000000002,0.42999999999999999,0.90000000000000002,1,1
2,4.9999999999999911,248.34999999999999,37.43,6.6299999999999999,26.34,1,1,1,1
5,4.9999999999999911,27.850000000000001,4.9800000000000004,1.79,24.25,1,1,1,1
10,4.9999999999999911,6.3899999999999997,0.72999999999999998,0.5,24,1,1,1,1
0.5,11.58000000000005,2902,2209.5,81,75.010000000000005,0.02,0.059999999999999998,1,1
1,11.58000000000005,3093.4642857142858,436.29473684210524,18.280000000000001,36.539999999999999,0.28000000000000003,0.94999999999999996,1,1
2,11.58000000000005,650.69696969696975,35.579999999999998,6.5800000000000001,26.41,0.98999999999999999,1,1,1
5,11.58000000000005,70.670000000000002,4.8899999999999997,1.6399999999999999,24.210000000000001,1,1,1,1
10,11.58000000000005,16.559999999999999,0.63,0.42999999999999999,24,1,1,1,1
0.5,30.000000000000323,1787,2209.5,72.609999999999999,72.459999999999994,0.01,0.059999999999999998,1,1
1,30.000000000000323,3121.5714285714284,277,16.98,36.07,0.14000000000000001,0.98999999999999999,1,1
2,30.000000000000323,1348.0689655172414,32.729999999999997,6.2999999999999998,26.41,0.87,1,1,1
5,30.000000000000323,204.97,4.7800000000000002,1.55,24.210000000000001,1,1,1,1
10,30.000000000000323,47.969999999999999,0.57999999999999996,0.40999999999999998,24,1,1,1,1
0.5,49.999999999999396,1793,2338.2857142857142,68.459999999999994,70.019999999999996,0.01,0.070000000000000007,1,1
1,49.999999999999396,3379.4000000000001,203.69999999999999,16.199999999999999,35.329999999999998,0.10000000000000001,1,1,1
2,49.999999999999396,2005.0243902439024,31.120000000000001,6.2000000000000002,26.280000000000001,0.81999999999999995,1,1,1
5,49.999999999999396,370.82999999999998,4.6399999999999997,1.55,24.18,1,1,1,1
10,49.999999999999396,85.239999999999995,0.60999999999999999,0.38,24,1,1,1,1
0.5,89.999999999998622,1815,2533.6666666666665,62.18,69.400000000000006,0.01,0.089999999999999997,1,1
1,89.999999999998622,3301.4000000000001,168.55000000000001,15.6,34.82,0.050000000000000003,1,1,1
2,89.999999999998622,2731.0294117647059,29.41,6.04,26.140000000000001,0.68000000000000005,1,1,1
5,89.999999999998622,639.96938775510205,4.4699999999999998,1.46,24.210000000000001,0.97999999999999998,1,1,1
10,89.999999999998622,164.84,0.58999999999999997,0.34999999999999998,24,1,1,1,1
0.5,139.99999999999986,1852,2219.5500000000002,59.520000000000003,62.649999999999999,0.01,0.20000000000000001,1,1
1,139.99999999999986,4050,145.81,14.98,34.32,0.040000000000000001,1,1,1
2,139.99999999999986,3129.4117647058824,27.59,5.6500000000000004,25.989999999999998,0.51000000000000001,1,1,1
5,139.99999999999986,932.84536082474222,4.2000000000000002,1.3,24.18,0.96999999999999997,1,1,1
10,139.99999999999986,265.48000000000002,0.59999999999999998,0.31,24,1,1,1,1
0.5,199.99999999999488,NaN,1940.3076923076924,51.57,59.119999999999997,0,0.39000000000000001,1,1
1,199.99999999999488,4687,127.38,14.1,33.630000000000003,0.01,1,1,1
2,199.99999999999488,3496.5789473684213,26.039999999999999,5.3099999999999996,25.899999999999999,0.38,1,1,1
5,199.99999999999488,1120.7553191489362,4,1.22,24.18,0.93999999999999995,1,1,1
10,199.99999999999488,382.89999999999998,0.58999999999999997,0.31,24,1,1,1,1
